poi_id,name,latitude,longitude,category
node/16541571,Jakob-Kaiser-Platz,52.5344702,13.3010943,other
node/16541582,Beusselstraße,52.5374665,13.3230381,other
node/16541597,Aral,52.5463147,13.345599,fuel
node/21302157,Tiergarten,52.5143746,13.3364504,station
node/21385742,Frankfurter Allee,52.515661,13.4742384,stop_position
node/21385751,Storkower Straße,52.5237432,13.4648885,station
node/21487225,Jannowitzbrücke,52.5142146,13.4194925,station
node/26124401,Berlin Gesundbrunnen,52.5486588,13.3894369,stop_position
node/26627378,Schmargendorf,52.485931,13.3074308,other
node/26662472,Eisenzahnstraße,52.4936372,13.3041907,stop_position
node/26703050,Großer Stern,52.5155249,13.3513134,stop_position
node/26708529,Hohenzollerndamm,52.4864476,13.3022559,other
node/26735749,Aida,52.5068638,13.3228585,restaurant
node/26735759,Madame Ngo,52.5062119,13.3180811,restaurant
node/26735763,Nam Thuân,52.5073199,13.3207804,restaurant
node/26736279,Schmargendorf,52.4839605,13.305243,other
node/26751254,Innsbrucker Platz,52.4779691,13.3331448,other
node/26756830,Aral,52.5306943,13.3282249,fuel
node/26763074,Breitscheidplatz,52.5052308,13.3364722,stop_position
node/26787974,Breitscheidplatz,52.5051048,13.3368513,stop_position
node/26805818,Schmargendorf,52.4800611,13.30672,other
node/26849064,U Friedrich-Wilhelm-Platz,52.4708513,13.3282829,stop_position
node/26881959,Seestraße,52.5386863,13.3282515,other
node/26882421,Aral,52.4842654,13.3206691,fuel
node/26908540,Friedenau,52.4703937,13.3409812,stop_position
node/26908767,Kreuz Schöneberg,52.4771614,13.3540555,other
node/26908820,Innsbrucker Platz,52.4767723,13.3470934,other
node/26908828,Kreuz Schöneberg,52.4752517,13.3488247,other
node/26908832,Kreuz Schöneberg,52.4756037,13.3482693,other
node/26908974,Kreuz Schöneberg,52.4738058,13.3563958,other
node/26938228,Marchstraße,52.5134627,13.3206155,stop_position
node/26969275,Hohenzollerndamm,52.488627,13.3002415,station
node/26972366,Konrad Zuse,52.5227738,13.3472206,memorial
node/26992409,Poststadion,52.5298289,13.3626412,stop_position
node/27008283,Stieffring,52.5442084,13.3131552,stop_position
node/27011265,Großer Stern,52.5154139,13.3514252,stop_position
node/27186919,Schöneberg,52.4789576,13.3512735,stop_position
node/27186974,S Schöneberg,52.4797304,13.3529138,stop_position
