poi_id,name,latitude,longitude,category
node/107333,Oxford Circus,51.5153055,-0.141966,other
node/107557,Rotherhithe Tunnel,51.4995342,-0.0544337,stop_position
node/107775,London,51.5074456,-0.1277653,other
node/107792,Cambridge Circus,51.5132543,-0.1291225,other
node/108289,Buckingham Palace,51.4994913,-0.1427649,stop_position
node/108519,Angel,51.5341292,-0.1025238,other
node/108539,Windsor Terrace,51.5291251,-0.0933878,bicycle_rental
node/108837,Monument Station,51.5094651,-0.0870901,stop_position
node/108926,St Mary's Church,51.5384334,-0.102328,stop_position
node/109507,Harbinger School / Masthouse Terrace Pier,51.4893651,-0.021092,stop_position
node/109575,Citizens advice bureau,51.5282624,-0.1431214,advice
node/109608,Hyde Park Corner,51.501999,-0.1518033,other
node/109903,Hammersmith Flyover,51.491097,-0.2327062,other
node/109960,Richmond Avenue,51.539428,-0.1136285,stop_position
node/110149,Epworth Street,51.5225824,-0.0871484,stop_position
node/152210,Britannia Junction,51.5389346,-0.1426145,other
node/197980,Earls Court Station,51.4918902,-0.1925148,stop_position
node/198088,Randell's Road,51.5378392,-0.1226729,stop_position
node/198089,Vale Royal,51.5418827,-0.1255191,stop_position
node/198220,North Road / Goodinge Health Centre,51.5478705,-0.1256133,stop_position
node/237908,Ludgate Circus,51.5141693,-0.1043874,other
node/238766,Bow Interchange,51.5313327,-0.0176556,other
node/242820,Dalston Junction,51.5461993,-0.075646,other
node/271885,Kilburn,51.5469613,-0.2037044,other
node/780856,Shepherd's Bush Market,51.50607,-0.2263134,station
node/3427640,Canada Street,51.4985074,-0.0465659,stop_position
node/10025064,Climbing Lifts & Stairs,51.5056146,0.0265286,other
node/10314698,Old Ford,51.5361018,-0.0252114,other
node/10529808,Baring Street,51.5367119,-0.0904337,stop_position
node/10606316,St John Street / Goswell Road,51.5313169,-0.1061206,stop_position
node/11060834,Bow Interchange,51.526901,-0.0112317,other
node/11776731,Paddington,51.5154494,-0.1754622,stop_position
node/12197047,Knightsbridge Station,51.50088,-0.1600108,stop_position
node/12237870,Bermondsey Spa,51.4906318,-0.0739203,other
node/12238562,Borough Station,51.5005988,-0.0942322,stop_position
node/12731582,Old Ford,51.5319193,-0.0190999,other
node/12854833,Stratford,51.5414704,-0.0036065,stop_position
node/13676110,Roman Road Market,51.5348924,-0.0273953,stop_position
node/13783805,Cephas Street,51.5231749,-0.0549431,stop_position
node/13790683,Mile End,51.5253233,-0.0334206,stop_position
node/13799212,Holborn Library,51.5210756,-0.1156142,library
node/13821651,London Bridge,51.5049483,-0.0853123,stop_position
node/13986560,Hammersmith Flyover,51.4908023,-0.2174154,other
node/14866466,Waterloo,51.5043235,-0.1104875,other
node/15025883,Battersea Pier Junction,51.4830903,-0.1474859,other
node/15026054,Sloane Square,51.4922264,-0.1558767,station
node/15262028,The Monkey Puzzle,51.5164813,-0.1698266,pub
node/18037081,Blackwall Platform 1,51.5080368,-0.0066576,stop_position
node/18037094,East India Platform 1,51.5095016,-0.0016327,stop_position
node/18038030,Royal Victoria Platform 2,51.5090966,0.0175752,stop_position
node/18038183,Custom House for Excel Platform 4,51.5095953,0.0253894,stop_position
node/18038190,Prince Regent Platform 2,51.5094946,0.0325735,stop_position
node/18050282,Crossharbour Platform 2,51.4961768,-0.014432,stop_position
node/18064187,Morning Lane / Trelawney Estate,51.5465331,-0.0529135,stop_position
node/18090793,Camden Junction,51.5429703,-0.1616826,other
node/18129884,Belgravia,51.4947842,-0.1485459,other
node/18130224,Pimlico Academy & Library,51.4883236,-0.13732,stop_position
node/18395696,Mansion House,51.5118924,-0.0952228,station
node/18395697,Monument,51.5106943,-0.0860638,stop_position
node/18694457,Farringdon,51.5196918,-0.1044865,stop_position
node/19137826,White City,51.5120348,-0.2242227,stop_position
node/20599885,Golden Lion,51.5302738,-0.117551,disused_pub
node/20599897,016,51.5269153,-0.1085415,other
node/20599899,018,51.525834,-0.104343,other
node/20599902,021,51.523758,-0.109416,other
node/20821133,The Union Bar,51.5004234,-0.1777428,pub
node/20947360,The Diana Princess of Wales Memorial Walk,51.5039855,-0.1567217,information
node/20947380,The Diana Princess of Wales Memorial Walk,51.5050342,-0.1594156,information
node/20947441,Hyde Park Corner,51.5025081,-0.1558366,other
node/20958596,Clarence Gate,51.5247211,-0.1582076,other
node/20962674,Hammersmith,51.4920377,-0.2236401,other
node/21042294,Pimlico,51.4889993,-0.1398817,other
node/21095010,Stepney Green,51.5216851,-0.0467219,stop_position
node/21095031,Cutty Sark for Maritime Greenwich Platform 2,51.4818055,-0.0108866,stop_position
node/21269366,Baker Street,51.5238242,-0.1568796,stop_position
node/21392082,Waterloo Station / Upper Taxi Road,51.5037706,-0.1130508,stop_position
node/21494027,Marlborough Gate,51.5114859,-0.1759067,other
node/21507733,Oval,51.4818339,-0.1123953,station
node/21507827,Kennington,51.4882861,-0.1058829,station
node/21508069,Tottenham Court Road,51.5160063,-0.1303793,stop_position
node/21548022,Kingswood Ave,51.5357083,-0.2087316,other
node/21593232,The Last Judgement,51.5153316,-0.1117428,pub
node/21593236,Ship Tavern,51.5172518,-0.1191791,pub
node/21593237,The Polish Bar (Na Zdrowie),51.5173465,-0.1189566,bar
node/21593238,All Bar One,51.5163376,-0.119321,bar
node/21596118,Dalston Junction,51.5446614,-0.074885,stop_position
node/21596119,Dalston Junction,51.5452841,-0.074968,station
node/21661009,Willesden Junction,51.5324338,-0.2427584,stop_position
node/21662002,Shepherd's Bush,51.5053155,-0.2229856,other
node/21685700,Tesco,51.5168256,-0.1041421,other
node/21686579,White Haus,51.5154029,-0.1043348,pub
node/21687803,Fleet Street / City Thameslink,51.5152733,-0.1046794,platform
node/21693791,The Saint,51.5150736,-0.0997325,bar
node/24952269,Cannon Street Station,51.5103278,-0.0901807,stop_position
node/25030425,Maida Vale,51.5297951,-0.1859863,stop_position
node/25035163,Queen's Park,51.533931,-0.20471,stop_position
