poi_id,name,latitude,longitude,category
node/666,Hell's Kitchen,40.7644228,-73.9923918,other
node/42437096,Beastie Boys Square,40.7200786,-73.9883599,other
node/42446945,Brothers to the Rescue Corner,40.7489187,-73.977901,other
node/42455867,Frieda Zames Way,40.725203,-73.987053,other
node/42735668,3rd Avenue–138th Street,40.8108388,-73.9269606,stop_position
node/42844306,William Modell Way,40.7489275,-73.9373948,other
node/42874175,Emma Brandt Way,40.760435,-73.893829,other
node/61785451,New York,40.7127281,-74.0060152,other
node/66331480,Hoboken Terminal,40.7347745,-74.0279703,stop_position
node/100515086,Grand Central Terminal,40.7530803,-73.9769948,stop_position
node/103856238,Hoboken Terminal,40.7350962,-74.0279784,stop_position
node/103858028,Hoboken Terminal,40.7347369,-74.0279693,stop_position
node/103860550,Hoboken Terminal,40.7348949,-74.0279733,stop_position
node/103885536,Hoboken Terminal,40.7345383,-74.0279644,stop_position
node/103885770,Hoboken Terminal,40.7353263,-74.0287397,stop_position
node/158797645,Sunnyside,40.7398242,-73.9354153,other
node/158801311,Alphabet City,40.7251022,-73.9795833,yes
node/158801321,Tribeca,40.7153802,-74.0093063,other
node/158801775,East Elmhurst,40.7612123,-73.8651358,other
node/158802019,Clinton Hill,40.6897222,-73.9652778,other
node/158805148,Clinton,40.7652778,-73.993889,other
node/158805646,Bushwick Houses,40.7021736,-73.9391531,other
node/158809359,Woodside,40.7453798,-73.9054145,other
node/158809984,SoHo,40.72288,-73.9987505,attraction
node/158810168,Corona,40.7469593,-73.8601456,other
node/158810597,Fairview,40.8126006,-73.999028,other
node/158810928,Fresh Pond Junction,40.7040104,-73.8915251,other
node/158811979,Maspeth,40.723158,-73.912637,other
node/158813419,Greenpoint,40.7237134,-73.9509714,other
node/158816547,Kips Bay,40.7395463,-73.9770832,other
node/158819375,North Bergen,40.8042674,-74.012084,other
node/158821893,Blissville,40.7347214,-73.9377798,other
node/158823417,Rose Hill,40.743338,-73.9841594,other
node/158827461,Weehawken,40.7695457,-74.0204177,other
node/158839157,Upper West Side,40.7870455,-73.9754163,other
node/158840157,Jersey City,40.7215682,-74.047455,other
node/158842637,Cobble Hill,40.687547,-73.9973352,other
node/158842914,Long Island City,40.7455316,-73.9484995,other
node/158842996,East Village,40.7292688,-73.9873613,other
node/158843504,Manhattanville,40.8157775,-73.951554,other
node/158843949,Glendale,40.7014917,-73.8868028,other
node/158844608,Fresh Pond,40.7070471,-73.90347,other
node/158844866,Washington Square Village,40.7280556,-73.9977778,other
node/158846013,Hoboken,40.7433066,-74.0323752,other
node/158853595,Lower East Side,40.7159357,-73.9868057,other
node/158855791,Morningside Heights,40.81,-73.9625,other
node/158855831,Sunnyside Gardens,40.7477778,-73.9183333,other
node/158856492,Chinatown,40.7164913,-73.9962504,other
node/158856995,Jackson Heights,40.7556561,-73.8857755,other
node/158858271,Mott Haven,40.8089897,-73.9229147,other
node/158858760,Midtown,40.7551169,-73.98478,other
node/158860074,Murray Hill,40.7481574,-73.97875,other
node/158860194,Union City,40.7795455,-74.0237512,other
node/158860957,Medgar Evers Houses,40.6867436,-73.9402979,other
node/158861717,Greenwich Village,40.7319802,-73.9965658,other
node/158862484,Tudor City,40.7486231,-73.9713889,yes
node/158862559,Astoria,40.7720145,-73.9302673,other
node/158863515,Williamsburg,40.714622,-73.95345,other
node/158863822,Ridgewood,40.7080556,-73.9141667,other
node/158867123,Port Morris,40.8015147,-73.9095811,other
node/158868324,Hunts Point,40.8126008,-73.8840247,other
node/158868994,University Village,40.7269444,-73.9988889,other
node/158869539,Chelsea,40.7464906,-74.0015283,other
node/158871955,East Harlem,40.7947222,-73.9425,other
node/158874042,Hudson Heights,40.8070451,-74.0037505,other
node/158874245,Elmhurst,40.7365804,-73.8783932,other
node/158874315,Battery Park City,40.7110166,-74.0169369,other
node/158875120,Harlem,40.8078578,-73.9454671,other
node/158876393,Bedford-Stuyvesant,40.6834364,-73.9412488,other
node/158893531,Bushwick,40.6942696,-73.9187482,other
node/158898358,Babbitt,40.8098228,-74.019862,other
node/158904171,New Durham,40.7848232,-74.032918,other
node/158906652,Haberman,40.7259356,-73.9198594,other
node/158910289,Little Italy,40.7192728,-73.9982152,other
node/158913422,Linden Hill,40.7156581,-73.9234706,other
node/158917632,Guttenberg,40.7920454,-74.0037505,other
node/158919369,Steinway,40.7745459,-73.9037477,other
node/166878947,Pier 11 / Wall St. Terminal,40.7024496,-74.0055028,ferry_terminal
node/199276809,Hoboken 14th Street,40.7529354,-74.0225196,ferry_terminal
node/219709647,Clinton–Washington Avenues,40.688089,-73.9668389,station
node/219726610,DeKalb Avenue,40.690635,-73.981824,station
node/219726617,Hoyt Street,40.6905128,-73.9849862,station
node/219817432,York Street,40.701397,-73.986751,station
node/246167741,Roosevelt Island,40.7573715,-73.954239,stop_position
node/247128828,Bow Notch,40.7334729,-74.0107185,yes
node/260302471,96th Street,40.7943793,-73.9719996,station
node/274748567,Clinton-Washington,40.6881199,-73.9674929,other
node/274749479,Clinton-Washington,40.6884664,-73.965743,other
node/274749567,Clinton-Washington,40.6881565,-73.9655915,other
node/276231993,Woodside,40.7470259,-73.9040831,stop_position
node/276233001,Woodside,40.7461604,-73.9032853,station
node/276233212,61st Street–Woodside,40.7456359,-73.9030518,station
node/276319410,Long Island City,40.7415095,-73.9569751,station
node/276319527,Court Square,40.7464555,-73.9454525,station
node/277046860,33rd Street–Rawson Street,40.7446199,-73.9312304,station
node/277046861,40th Street–Lowery Street,40.7438431,-73.9244296,station
node/277046862,46th Street–Bliss Street,40.7431184,-73.9182509,station
node/277047076,21st Street,40.744065,-73.949724,station
node/277133388,Astoria–Ditmars Boulevard,40.775645,-73.9112449,stop_position
node/277959805,Cleveland Street,40.6801685,-73.8838458,stop_position
node/279155458,Jackson Heights–Roosevelt Avenue,40.746644,-73.891338,station
node/280572143,Steinway Auto Repairs,40.7707762,-73.9083348,car_repair
node/280869879,Hewes Street,40.7065044,-73.952477,stop_position
node/280907666,Middle Village–Metropolitan Avenue,40.7120357,-73.8892474,stop_position
node/280989751,Junction Boulevard,40.7491675,-73.8694786,station
node/280990284,Middle Village–Metropolitan Avenue,40.7115203,-73.8895607,station
node/280990367,Fresh Pond Road,40.7062234,-73.8959256,station
node/280990453,Forest Avenue,40.7043972,-73.903074,station
node/280990845,Seneca Avenue,40.7028171,-73.9076756,station
node/293337366,9th Street–Congress Street,40.7487716,-74.0386679,stop_position
node/294081606,2nd Street,40.7415132,-74.0428684,stop_position
node/295802851,Prompt-MD Urgent Care Center Of Hoboken,40.7381033,-74.0350373,clinic
node/295870178,Harborside Financial Center,40.7194979,-74.0339995,station
node/295870180,Exchange Place,40.7160215,-74.0341139,station
node/295870181,Essex Street,40.7128648,-74.0359523,station
node/295870188,Marin Boulevard,40.7144578,-74.0432714,station
node/295870189,Jersey Avenue,40.7150055,-74.048499,stop_position
node/295870203,Lincoln Harbor,40.7616597,-74.0239144,stop_position
node/296377486,Hoboken Fire Dept Ladder 2 Engine 5,40.7369253,-74.0396118,fire_station
node/296435230,Monroe Center,40.7470538,-74.0378094,other
node/296435236,Monroe Center for the Arts,40.747102,-74.0379555,arts_centre
