poi_id,name,latitude,longitude,category
node/360990,Place de Barcelone,48.8474292,2.2737147,other
node/361102,Place de Valenciennes,48.8785122,2.3540762,other
node/361103,Place de Roubaix,48.8804947,2.3523043,other
node/361719,Place d'Italie,48.8317196,2.356062,stop_position
node/367913,Wagram - Pereire,48.8874793,2.3049813,stop_position
node/398789,Place Jacques Rouché,48.8722064,2.3328034,other
node/442197,Porte de Versailles,48.8326696,2.2883696,other
node/661234,Place de Kyoto,48.8550486,2.2893932,other
node/4616553,Place Clément Ader,48.851324,2.2784754,other
node/17348329,Rosa Parks - Curial,48.89602,2.3788526,stop_position
node/17807753,Paris,48.8534951,2.3483915,other
node/21292449,Place du Nicaragua,48.8852235,2.3072141,other
node/21648682,Place d'Italie,48.8315824,2.3561904,stop_position
node/21662099,Notre-Dame,48.851834,2.3500556,ferry_terminal
node/24908972,Porte Gay-Lussac,48.8468553,2.340268,other
node/24910582,Embarcadère du Chalet des Îles,48.8629885,2.2614737,ferry_terminal
node/24911715,Coysevox,48.8924526,2.3305179,stop_position
node/24911755,Place Eugène Nattier,48.8902567,2.3330408,other
node/24912008,Jacques Cartier,48.8942128,2.3298324,stop_position
node/24912010,Firmin Gemier,48.8955854,2.3309166,stop_position
node/24912125,Place Cécile Brunschvicg,48.8935967,2.3510189,other
node/25055851,Porte de Clichy,48.8979066,2.3134259,other
node/25075871,Porte de Clichy,48.895412,2.3073475,other
node/25075910,Porte Maillot,48.883143,2.2837911,other
node/25075951,Porte Dauphine,48.8694721,2.2713226,other
node/25075983,Porte de la Muette,48.8605733,2.2637897,other
node/25075988,Porte de Passy,48.8602447,2.2632831,other
node/25077734,Quai d'Issy,48.834747,2.2663838,other
node/25078031,Quai d'Issy,48.8352948,2.2723383,other
node/25078032,Porte de Sèvres,48.8348198,2.2740203,other
node/25209909,Relais Saint-Cloud Dassault,48.8549783,2.2224884,fuel
node/25210286,Relais Total de la Porte de Montreuil,48.8535333,2.415118,other
node/25213384,Relais Total Du Pont Aval,48.8346767,2.266146,fuel
node/25213823,Avia,48.8256612,2.4077565,fuel
node/25214653,Relais des Chaufourniers,48.8801814,2.3707442,fuel
node/25239055,Porte de Châtillon,48.8219899,2.3168688,other
node/25245056,Porte de Bagnolet,48.8688417,2.4132378,other
node/25248544,Porte de la Villette,48.8796781,2.3883328,other
node/25248569,Porte Secrétan,48.8788628,2.3785813,other
node/25623937,Place Marlène Dietrich,48.8656711,2.2926731,other
node/25624008,Place de Beyrouth,48.8674536,2.2992472,other
node/26401024,Place Ovida Delect,48.859365,2.3561427,other
node/26401611,Place Harvey Milk,48.8575099,2.3542407,other
node/26686593,Boulogne-Billancourt,48.8356649,2.240206,other
