poi_id,name,latitude,longitude,category
node/31252846,芝浦ふ頭,35.6417244,139.7577436,stop_position
node/31252925,浜崎橋JCT,35.6495854,139.7584952,other
node/31252934,芝浦JCT,35.6484939,139.7580882,other
node/31252942,浜崎橋JCT,35.6528795,139.7573991,other
node/31253494,潮路橋,35.6428931,139.7553778,other
node/31253604,浦島橋,35.6449233,139.7563734,other
node/31253617,潮路橋,35.6429674,139.7551104,other
node/31253688,汐留入口,35.6632827,139.7629036,other
node/31253690,南浜橋,35.6474169,139.757639,other
node/31253693,汐留,35.6629395,139.7599414,stop_position
node/31253747,汐留出口,35.6631762,139.7623936,other
node/31253753,浦島橋,35.6449446,139.7560911,other
node/31253788,汐留乗継所,35.6660391,139.7628288,other
node/31253808,汐彩橋,35.6403129,139.7537731,other
node/31253838,芝商業高校前,35.6560199,139.760018,other
node/31253872,浜松町,35.6551142,139.757036,stop_position
node/31253877,新橋,35.6661449,139.7579819,stop_position
node/31253879,新橋,35.6662033,139.7585094,stop_position
node/31253901,汐彩橋,35.6402298,139.7540263,other
node/31253922,芝商業高校前,35.6559598,139.760296,other
node/31253943,汐先橋,35.6637084,139.7632998,other
node/31253977,芝浦,35.6414479,139.7545699,other
node/31253982,汐先橋,35.6638299,139.7633924,other
node/31254016,浜崎橋,35.6520694,139.760011,other
node/31254026,南浜橋,35.6475764,139.7573787,other
node/31254032,新橋,35.6661642,139.7580869,stop_position
node/31254078,南浜橋,35.6474837,139.7576724,other
node/31254107,浜松町,35.6551327,139.7569141,stop_position
node/31254160,銀座,35.6647279,139.7653422,other
node/31254166,南浜橋,35.6475074,139.7573453,other
node/31254192,竹芝桟橋入口,35.6549548,139.7624424,other
node/31254205,新橋出口,35.6677413,139.7603887,other
node/31254216,土橋入口,35.6690808,139.7588016,other
node/31254298,銀座東七丁目,35.6672089,139.7639859,other
node/31254303,銀座東七丁目,35.6671115,139.7641657,other
node/31254305,三原橋,35.6696354,139.7669344,other
node/31254306,三原橋,35.6697255,139.7670179,other
node/31254307,銀座東三丁目,35.6706767,139.7678823,other
node/31254309,三原橋,35.6694861,139.7671133,other
node/31254310,三原橋,35.6695695,139.7671822,other
node/31254311,銀座東三丁目,35.6705424,139.7680771,other
node/31254325,銀座七丁目,35.66851,139.7622349,other
node/31254332,銀座七丁目,35.6685462,139.7621899,other
node/31254333,銀座六丁目,35.6694409,139.7631036,other
node/31254341,銀座,35.6712636,139.7717151,other
node/31254353,新富町,35.6719894,139.7722359,other
node/31254368,中央市場前,35.6640993,139.7678647,other
node/31254373,築地本願寺前,35.6676087,139.7721029,other
node/31254374,築地三丁目,35.6684865,139.7731751,other
node/31254375,築地三丁目北,35.6693425,139.7742326,other
node/31254376,入船橋,35.6701725,139.7750147,other
node/31254377,入船橋,35.670227,139.7750611,other
node/31254378,中央市場前,35.6641801,139.7677618,other
node/31254383,築地本願寺前,35.6676803,139.7720205,other
node/31254387,入船橋,35.6702526,139.7749171,other
node/31254388,築地橋,35.6709605,139.7732335,other
node/31254411,門跡橋,35.665308,139.7717835,other
node/31254415,築地六丁目,35.6645313,139.772548,other
node/31254420,勝どき駅前,35.6593962,139.7776881,other
node/31255167,銀座東二丁目,35.6715131,139.7689546,other
node/31255224,白魚橋乗継所,35.6742266,139.771503,other
node/31255230,東銀座,35.6741521,139.7714517,other
node/31295378,芝浦一丁目,35.6483771,139.7550507,other
node/31295407,芝四丁目,35.649136,139.7532039,other
node/31295408,芝四丁目,35.6491821,139.7530113,other
node/31295413,芝四丁目,35.6490458,139.7531423,other
node/31295414,芝四丁目,35.649107,139.7529459,other
node/31295418,芝一丁目,35.6503512,139.7534809,other
node/31295425,金杉橋南,35.6527311,139.7542098,other
node/31295430,芝公園入口,35.6533664,139.7529688,other
node/31295435,浜松町二丁目,35.654687,139.7544768,other
node/31295493,田町駅西口,35.6469233,139.7471905,other
node/31295496,札の辻,35.6452173,139.7441781,other
node/31295514,芝浦3丁目,35.6425238,139.7498034,other
node/31295520,田町駅東口,35.6441433,139.7487435,other
node/31295521,芝浦2丁目,35.642962,139.7523757,other
node/31296890,高輪大木戸跡,35.640175,139.7409267,other
node/31296905,高輪大木戸跡,35.6402207,139.7407889,other
node/31296943,芝公園出口,35.6544714,139.7459029,other
node/31296958,芝公園出口,35.6531722,139.7499173,other
node/31296991,芝公園ランプ出口,35.6542401,139.7478985,other
node/31297000,一ノ橋JCT,35.6554289,139.7401234,other
node/31297556,飯倉,35.6582083,139.7364124,other
node/57519541,神楽坂,35.7010851,139.7412287,other
node/57533371,恵比寿,35.6462954,139.714385,other
node/57534062,広尾,35.6522569,139.7175844,other
node/57536180,新橋,35.6651059,139.7561163,other
node/57542483,目黒区,35.6408352,139.6985376,other
node/57544160,田町,35.6455451,139.7485367,other
node/158030016,表参道,35.665253,139.7125087,other
node/158030029,宮下公園,35.6618918,139.7021916,other
node/158030491,新宿七丁目,35.6979039,139.7074388,other
node/158030830,青山二丁目,35.6718074,139.7210187,other
node/172339890,溜池山王駅(11),35.6708419,139.7412872,other
node/182423282,六本木二丁目,35.6668533,139.7386025,other
node/182423382,溜池山王駅(10),35.6718264,139.7413072,other
node/191499365,成子坂下,35.6958598,139.6884285,other
node/191504250,新宿大ガード西,35.6936998,139.6990983,other
