region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/28094136,Schöneberg,52.482157,13.3551901,suburb,,suburb,,,,,,node
node/28891708,Wilmersdorf,52.4871152,13.3203298,suburb,,suburb,,,,,,node
node/29336704,Charlottenburg,52.515747,13.3096834,suburb,,suburb,,,,,,node
node/31901452,Friedenau,52.472075,13.3296424,suburb,,suburb,,,,,,node
node/129875262,Neukölln,52.4811497,13.4353501,suburb,,suburb,,,,,,node
node/159769182,Wedding,52.548949,13.3481653,suburb,,suburb,,,,,,node
node/160330614,Tiergarten,52.5097776,13.3572597,suburb,,suburb,,,,,,node
node/160332579,Hansaviertel,52.5191234,13.3418725,suburb,,suburb,,,,,,node
node/162012321,Mitte,52.5178855,13.4040601,suburb,,suburb,,,,,,node
node/163852973,Prenzlauer Berg,52.5398466,13.4285652,suburb,,suburb,,,,,,node
node/240109189,Berlin,52.5173885,13.3951309,2,,city,,,,,,node
node/261713255,Alt-Treptow,52.4925634,13.4598743,suburb,,suburb,,,,,,node
node/261713413,Plänterwald,52.4795439,13.4788076,suburb,,suburb,,,,,,node
node/262328057,Friedrichshain,52.5122154,13.4502904,suburb,,suburb,,,,,,node
node/262328235,Kreuzberg,52.4976443,13.411914,suburb,,suburb,,,,,,node
node/288784639,Rummelsburg,52.5013696,13.4835143,suburb,,suburb,,,,,,node
node/331139102,Lichtenberg,52.5196723,13.4950457,suburb,,suburb,,,,,,node
node/539359809,Friedrichswerder,52.5144976,13.3981483,neighbourhood,,neighbourhood,,,,,"Mitte,Berlin,Bundesrepublik Deutschland,Europe",node
node/539360863,Dorotheenstadt,52.5186609,13.3884475,quarter,,quarter,,,,,"Mitte,Berlin,Bundesrepublik Deutschland,Europe",node
node/539362369,Friedrichstadt,52.5097492,13.3899039,quarter,,quarter,,,,,,node
node/539362678,Luisenstadt,52.5071836,13.4158801,quarter,,quarter,,,,,,node
node/539368274,Spandauer Vorstadt,52.5257512,13.3995437,quarter,,quarter,,,,,,node
