region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/107775,London,51.5074456,-0.1277653,2,,city,,,,,,node
node/20962674,Hammersmith,51.4920377,-0.2236401,suburb,,suburb,,,,,,node
node/21042294,Pimlico,51.4889993,-0.1398817,suburb,,suburb,,,,,"Westminster, London, UK",node
node/21662002,Shepherd's Bush,51.5053155,-0.2229856,suburb,,suburb,,,,,,node
node/26545978,Walworth,51.4901142,-0.0906603,suburb,,suburb,,,,,"Southwark, London, UK",node
node/26546003,Elephant and Castle,51.495007,-0.1003315,suburb,,suburb,,,,,,node
node/26745366,Mayfair,51.5110872,-0.147058,suburb,,suburb,,,,,"Westminster, London",node
node/26745371,St Giles,51.5154723,-0.1284181,neighbourhood,,neighbourhood,,,,,,node
node/27365020,Islington,51.5384287,-0.0999051,suburb,,suburb,,,,,,node
node/27365024,Bethnal Green,51.5303456,-0.0561633,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365025,Dalston,51.543212,-0.0760128,suburb,,suburb,,,,,,node
node/27365026,Haggerston,51.5366603,-0.0740127,suburb,,suburb,,,,,,node
node/27365028,Wapping,51.5071316,-0.0620152,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365029,Shoreditch,51.5266694,-0.0798926,suburb,,suburb,,,,,,node
node/27365030,City of London,51.5156177,-0.0919983,city,,city,,,,,,node
node/27365031,Clerkenwell,51.5237268,-0.1055555,suburb,,suburb,,,,,,node
node/27365033,Bloomsbury,51.5210963,-0.1289635,suburb,,suburb,,,,,"Camden, London",node
node/27365035,Bermondsey,51.4970125,-0.063268,suburb,,suburb,,,,,"Southwark, London",node
node/27365036,Millwall,51.4933423,-0.0212187,quarter,,quarter,,,,,,node
node/27365037,Rotherhithe,51.5002908,-0.0436321,suburb,,suburb,,,,,"Southwark, London",node
node/27365038,Stepney,51.5174023,-0.0462189,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365039,Limehouse,51.5133074,-0.0351492,suburb,,suburb,,,,,,node
node/27365040,Cubitt Town,51.4936677,-0.0082433,quarter,,quarter,,,,,,node
node/27365041,Blackwall,51.5065004,-0.0064024,suburb,,suburb,,,,,"Tower hamlets, London",node
node/27365042,Isle of Dogs,51.4978447,-0.0168854,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365043,Poplar,51.5110713,-0.0144629,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365044,Bromley-by-Bow,51.5229529,-0.0179722,quarter,,quarter,,,,,,node
node/27365045,Bow,51.5309383,-0.0274853,suburb,,suburb,,,,,"Tower Hamlets, London",node
node/27365046,Stratford,51.5406878,0.0016208,suburb,,suburb,,,,,,node
node/27365299,Highbury,51.5457996,-0.1027127,suburb,,suburb,,,,,,node
node/27365300,Barnsbury,51.5389351,-0.114735,suburb,,suburb,,,,,,node
node/27365302,Greenwich,51.4820845,-0.0045417,town,,town,,,,,,node
node/27365303,Charlton,51.4826053,0.0365359,suburb,,suburb,,,,,"Greenwich, London",node
node/27365306,City of Westminster,51.4973206,-0.137149,city,,city,,,,,,node
node/27365501,Willesden,51.5466216,-0.2358661,town,,town,,,,,"Brent, London, UK",node
node/27396436,South Kensington,51.4955817,-0.1831368,suburb,,suburb,,,,,"Kensington and Chelsea, London",node
node/27396490,Knightsbridge,51.5008444,-0.166965,suburb,,suburb,,,,,"Westminster, London, UK",node
node/27467065,Fitzrovia,51.5229426,-0.1383554,suburb,,suburb,,,,,London,node
node/27467066,Marylebone,51.5196374,-0.1519627,suburb,,suburb,,,,,"Westminster, London",node
node/27467067,Chelsea,51.4888554,-0.1653781,suburb,,suburb,,,,,"Kensington and Chelsea, London, UK",node
node/27467182,Kensington,51.4989948,-0.1991229,suburb,,suburb,,,,,,node
node/27467184,Paddington,51.5161629,-0.1744856,suburb,,suburb,,,,,"Westminster, London",node
node/27467185,Maida Vale,51.527592,-0.1905916,suburb,,suburb,,,,,"Westminster, London",node
node/27481928,De Beauvoir Town,51.5405639,-0.0801312,quarter,,quarter,,,,,,node
node/27486121,Canning Town,51.5181741,0.0134976,suburb,,suburb,,,,,,node
node/27486122,West Ham,51.5343383,0.0077868,suburb,,suburb,,,,,"Newham, London",node
node/27553615,Plaistow,51.5293798,0.0249097,suburb,,suburb,,,,,,node
node/27553702,Kennington,51.4884523,-0.1092504,suburb,,suburb,,,,,"Lambeth, London, UK",node
node/27553707,Vauxhall,51.4874834,-0.1229297,suburb,,suburb,,,,,"Lambeth, London, UK",node
node/27553712,The Borough,51.5022549,-0.093898,suburb,,suburb,,,,,,node
node/27553719,Lambeth,51.4952111,-0.1163354,suburb,,suburb,,,,,"Lambeth, London",node
node/243814259,Hoxton,51.5323935,-0.086078,suburb,,suburb,,,,,,node
node/281041529,Somers Town,51.5317283,-0.1315656,suburb,,suburb,,,,,,node
node/288848078,Butler's Wharf,51.5036914,-0.0739092,neighbourhood,,neighbourhood,,,,,"Shad Thames,Bermondsey,London",node
node/344093927,Seven Dials,51.5137742,-0.1269968,neighbourhood,,neighbourhood,,,,,,node
node/383729579,St Luke's,51.5268671,-0.0959005,neighbourhood,,neighbourhood,,,,,,node
node/399607277,Camden Town,51.5392533,-0.142757,town,,town,,,,,"London, UK",node
node/400704579,White City Estate,51.5126389,-0.2326312,neighbourhood,,neighbourhood,,,,,,node
node/415561032,St Olave's Estate,51.5025837,-0.0794981,neighbourhood,,neighbourhood,,,,,,node
node/432444944,Purbrook Estate,51.4988641,-0.0782589,neighbourhood,,neighbourhood,,,,,,node
node/450524790,South Bank,51.5065325,-0.1134203,quarter,,quarter,,,,,,node
node/559739378,Fish Island,51.5394491,-0.0229053,neighbourhood,,neighbourhood,,,,,,node
node/611721875,Aylesbury Estate,51.4853277,-0.086079,neighbourhood,,neighbourhood,,,,,,node
node/616600058,Cooper's Estate,51.4872948,-0.0718836,neighbourhood,,neighbourhood,,,,,,node
node/716816528,Westbourne Green,51.5189617,-0.1908172,neighbourhood,,neighbourhood,,,,,,node
node/849946938,Tachbrook Estate,51.4873879,-0.1330858,neighbourhood,,neighbourhood,,,,,,node
node/945446434,Browning Estate,51.4894002,-0.0945392,neighbourhood,,neighbourhood,,,,,,node
node/1022389851,Longfield Estate,51.4918509,-0.0733171,neighbourhood,,neighbourhood,,,,,,node
node/1022389854,Lynton Estate,51.4896389,-0.0701617,neighbourhood,,neighbourhood,,,,,,node
