region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/666,Hell's Kitchen,40.7644228,-73.9923918,neighbourhood,,neighbourhood,,,,,,node
node/61785451,New York,40.7127281,-74.0060152,city,,city,,,,,,node
node/158797645,Sunnyside,40.7398242,-73.9354153,neighbourhood,,neighbourhood,,,,,,node
node/158801311,Alphabet City,40.7251022,-73.9795833,neighbourhood,,neighbourhood,,,,,,node
node/158801321,Tribeca,40.7153802,-74.0093063,neighbourhood,,neighbourhood,,,,,,node
node/158801775,East Elmhurst,40.7612123,-73.8651358,neighbourhood,,neighbourhood,,,,,,node
node/158802019,Clinton Hill,40.6897222,-73.9652778,neighbourhood,,neighbourhood,,,,,,node
node/158805148,Clinton,40.7652778,-73.993889,neighbourhood,,neighbourhood,,,,,,node
node/158809359,Woodside,40.7453798,-73.9054145,quarter,,quarter,,,,,,node
node/158809984,SoHo,40.72288,-73.9987505,neighbourhood,,neighbourhood,,,,,,node
node/158810168,Corona,40.7469593,-73.8601456,neighbourhood,,neighbourhood,,,,,,node
node/158810597,Fairview,40.8126006,-73.999028,town,,town,,,,,,node
node/158810928,Fresh Pond Junction,40.7040104,-73.8915251,neighbourhood,,neighbourhood,,,,,,node
node/158811979,Maspeth,40.723158,-73.912637,neighbourhood,,neighbourhood,,,,,,node
node/158813419,Greenpoint,40.7237134,-73.9509714,neighbourhood,,neighbourhood,,,,,,node
node/158816547,Kips Bay,40.7395463,-73.9770832,neighbourhood,,neighbourhood,,,,,,node
node/158819375,North Bergen,40.8042674,-74.012084,town,,town,,,,,,node
node/158821893,Blissville,40.7347214,-73.9377798,neighbourhood,,neighbourhood,,,,,,node
node/158823417,Rose Hill,40.743338,-73.9841594,neighbourhood,,neighbourhood,,,,,,node
node/158827461,Weehawken,40.7695457,-74.0204177,town,,town,,,,,,node
node/158839157,Upper West Side,40.7870455,-73.9754163,quarter,,quarter,,,,,,node
node/158840157,Jersey City,40.7215682,-74.047455,city,,city,,,,,,node
node/158842637,Cobble Hill,40.687547,-73.9973352,neighbourhood,,neighbourhood,,,,,,node
node/158842914,Long Island City,40.7455316,-73.9484995,quarter,,quarter,,,,,,node
node/158842996,East Village,40.7292688,-73.9873613,neighbourhood,,neighbourhood,,,,,,node
node/158843504,Manhattanville,40.8157775,-73.951554,neighbourhood,,neighbourhood,,,,,,node
node/158843949,Glendale,40.7014917,-73.8868028,neighbourhood,,neighbourhood,,,,,,node
node/158844608,Fresh Pond,40.7070471,-73.90347,neighbourhood,,neighbourhood,,,,,,node
node/158844866,Washington Square Village,40.7280556,-73.9977778,neighbourhood,,neighbourhood,,,,,,node
node/158846013,Hoboken,40.7433066,-74.0323752,town,,town,,,,,,node
node/158853595,Lower East Side,40.7159357,-73.9868057,neighbourhood,,neighbourhood,,,,,,node
node/158855791,Morningside Heights,40.81,-73.9625,neighbourhood,,neighbourhood,,,,,,node
node/158855831,Sunnyside Gardens,40.7477778,-73.9183333,neighbourhood,,neighbourhood,,,,,,node
node/158856492,Chinatown,40.7164913,-73.9962504,neighbourhood,,neighbourhood,,,,,,node
node/158856995,Jackson Heights,40.7556561,-73.8857755,neighbourhood,,neighbourhood,,,,,,node
node/158858271,Mott Haven,40.8089897,-73.9229147,neighbourhood,,neighbourhood,,,,,,node
node/158858760,Midtown,40.7551169,-73.98478,quarter,,quarter,,,,,,node
node/158860074,Murray Hill,40.7481574,-73.97875,neighbourhood,,neighbourhood,,,,,,node
node/158860194,Union City,40.7795455,-74.0237512,town,,town,,,,,,node
node/158861717,Greenwich Village,40.7319802,-73.9965658,neighbourhood,,neighbourhood,,,,,,node
node/158862484,Tudor City,40.7486231,-73.9713889,neighbourhood,,neighbourhood,,,,,,node
node/158862559,Astoria,40.7720145,-73.9302673,neighbourhood,,neighbourhood,,,,,,node
node/158863515,Williamsburg,40.714622,-73.95345,quarter,,quarter,,,,,,node
node/158863822,Ridgewood,40.7080556,-73.9141667,neighbourhood,,neighbourhood,,,,,,node
node/158867123,Port Morris,40.8015147,-73.9095811,neighbourhood,,neighbourhood,,,,,,node
node/158868324,Hunts Point,40.8126008,-73.8840247,neighbourhood,,neighbourhood,,,,,,node
node/158868994,University Village,40.7269444,-73.9988889,neighbourhood,,neighbourhood,,,,,,node
node/158869539,Chelsea,40.7464906,-74.0015283,neighbourhood,,neighbourhood,,,,,,node
node/158871955,East Harlem,40.7947222,-73.9425,neighbourhood,,neighbourhood,,,,,,node
node/158874042,Hudson Heights,40.8070451,-74.0037505,hamlet,,hamlet,,,,,,node
node/158874245,Elmhurst,40.7365804,-73.8783932,quarter,,quarter,,,,,,node
node/158874315,Battery Park City,40.7110166,-74.0169369,neighbourhood,,neighbourhood,,,,,,node
node/158875120,Harlem,40.8078578,-73.9454671,quarter,,quarter,,,,,,node
node/158876393,Bedford-Stuyvesant,40.6834364,-73.9412488,neighbourhood,,neighbourhood,,,,,,node
node/158893531,Bushwick,40.6942696,-73.9187482,quarter,,quarter,,,,,,node
node/158898358,Babbitt,40.8098228,-74.019862,hamlet,,hamlet,,,,,,node
node/158904171,New Durham,40.7848232,-74.032918,hamlet,,hamlet,,,,,,node
node/158910289,Little Italy,40.7192728,-73.9982152,neighbourhood,,neighbourhood,,,,,,node
node/158913422,Linden Hill,40.7156581,-73.9234706,neighbourhood,,neighbourhood,,,,,,node
node/158917632,Guttenberg,40.7920454,-74.0037505,town,,town,,,,,,node
node/158919369,Steinway,40.7745459,-73.9037477,neighbourhood,,neighbourhood,,,,,,node
node/357644127,Manhattan,40.7579554,-73.9855319,suburb,,suburb,,,,,,node
node/380047831,Brooklyn Navy Yard,40.6993266,-73.9755562,neighbourhood,,neighbourhood,,,,,,node
node/2019020144,Dumbo,40.7029052,-73.990118,neighbourhood,,neighbourhood,,,,,,node
node/2405698914,Colonels Row,40.6908291,-74.018999,hamlet,,hamlet,,,,,,node
node/2510992904,Columbia Street Waterfront District,40.6872869,-74.0019197,neighbourhood,,neighbourhood,,,,,,node
node/2511053877,Koreatown,40.7476419,-73.9865157,neighbourhood,,neighbourhood,,,,,,node
node/2517056822,Flatiron District,40.7410722,-73.9896534,neighbourhood,,neighbourhood,,,,,,node
node/2517057358,NoHo,40.7258746,-73.9939566,neighbourhood,,neighbourhood,,,,,,node
node/2642533054,Upper East Side,40.775479,-73.9550233,quarter,,quarter,,,,,,node
node/2651270418,Colgate Center,40.713566,-74.0348267,neighbourhood,,neighbourhood,,,,,,node
node/2836081095,Lincoln Harbor,40.760688,-74.0227285,neighbourhood,,neighbourhood,,,,,,node
node/4080383997,Nolan Park,40.6898707,-74.0140597,neighbourhood,,neighbourhood,,,,,,node
node/4990556283,South Battery,40.687688,-74.0155403,hamlet,,hamlet,,,,,,node
node/4990556284,Liggett Terrace,40.6893819,-74.0195078,hamlet,,hamlet,,,,,,node
node/5706568321,Manhattan Valley,40.7997764,-73.9677716,neighbourhood,,neighbourhood,,,,,,node
node/5706568325,Carnegie Hill,40.7841972,-73.954339,neighbourhood,,neighbourhood,,,,,,node
node/5706568326,Yorkville,40.7780067,-73.9482022,neighbourhood,,neighbourhood,,,,,,node
node/5706568327,Lenox Hill,40.7664366,-73.9590168,neighbourhood,,neighbourhood,,,,,,node
node/5706568328,Lincoln Square,40.7723194,-73.9844012,neighbourhood,,neighbourhood,,,,,,node
node/5706568329,Columbus Circle,40.7680943,-73.9818907,neighbourhood,,neighbourhood,,,,,,node
node/5706568330,Turtle Bay,40.7534666,-73.9688659,neighbourhood,,neighbourhood,,,,,,node
node/5706568331,Midtown East,40.7598219,-73.9724708,neighbourhood,,neighbourhood,,,,,,node
node/5706568332,Theater District,40.7579801,-73.9855452,neighbourhood,,neighbourhood,,,,,,node
node/5706568334,Hudson Yards,40.7559064,-74.0005322,neighbourhood,,neighbourhood,,,,,,node
node/5706568335,Garment District,40.7536941,-73.9905167,neighbourhood,,neighbourhood,,,,,,node
node/5706568337,Gramercy,40.7355189,-73.9840794,neighbourhood,,neighbourhood,,,,,,node
node/5706568338,Union Square,40.7360717,-73.9901888,neighbourhood,,neighbourhood,,,,,,node
node/5706568339,NoMad,40.7446884,-73.9882851,neighbourhood,,neighbourhood,,,,,,node
node/5706568340,Midtown South,40.7498417,-73.984251,neighbourhood,,neighbourhood,,,,,,node
node/5706568342,Meatpacking District,40.7408029,-74.0080691,neighbourhood,,neighbourhood,,,,,,node
node/5706568343,West Village,40.7341857,-74.00558,neighbourhood,,neighbourhood,,,,,,node
node/5706568344,Hudson Square,40.7268035,-74.0079833,neighbourhood,,neighbourhood,,,,,,node
node/5706568345,Two Bridges,40.7112884,-73.9922333,neighbourhood,,neighbourhood,,,,,,node
node/5706568346,Civic Center,40.7136793,-74.0024042,neighbourhood,,neighbourhood,,,,,,node
node/5706568347,Financial District,40.7076681,-74.009271,neighbourhood,,neighbourhood,,,,,,node
node/5759670105,Fort Greene,40.6907711,-73.9766245,neighbourhood,,neighbourhood,,,,,,node
node/5967645372,Newport,40.7254782,-74.0360143,neighbourhood,,neighbourhood,,,,,,node
node/5967645373,Downtown Jersey City,40.7149793,-74.0358754,neighbourhood,,neighbourhood,,,,,,node
node/7385560930,The Shades,40.7594656,-74.0301161,neighbourhood,,neighbourhood,,,,,,node
node/7525202641,West New York,40.7856117,-74.0093129,town,,town,,,,,,node
node/8680776068,Court Square,40.7470782,-73.943181,neighbourhood,,neighbourhood,,,,,,node
node/8680776069,Hunters Point,40.7425425,-73.956635,neighbourhood,,neighbourhood,,,,,,node
node/8680776070,Ravenswood,40.7610409,-73.9379883,neighbourhood,,neighbourhood,,,,,,node
node/8680776071,Queensbridge,40.7554496,-73.9433957,neighbourhood,,neighbourhood,,,,,,node
node/8680776076,Lower Manhattan,40.7135482,-74.0054261,quarter,,quarter,,,,,,node
node/9423354112,Roosevelt Island,40.7586767,-73.9526842,neighbourhood,,neighbourhood,,,,,,node
node/10316226097,Whitehall,40.7056227,-74.0133391,neighbourhood,,neighbourhood,,,,,,node
node/11676529765,Sutton,40.7566109,-73.9618757,neighbourhood,,neighbourhood,,,,,,node
node/11676529766,Beekman,40.7537176,-73.9650085,neighbourhood,,neighbourhood,,,,,,node
node/11872487606,The Heights,40.7457649,-74.0494736,neighbourhood,,neighbourhood,,,,,,node
node/11872487607,Hamilton Park,40.7262558,-74.0453249,neighbourhood,,neighbourhood,,,,,,node
node/11872487608,Downtown,40.7372436,-74.0313804,neighbourhood,,neighbourhood,,,,,,node
node/11872487609,Uptown,40.7499672,-74.0274781,neighbourhood,,neighbourhood,,,,,,node
node/13971119553,Seaport,40.7072394,-74.0027434,neighbourhood,,neighbourhood,,,,,,node
way/220383217,City Council District 22,40.7815329,-73.9207977,unknown,administrative,,,,,,,way
way/244581129,Brooklyn Heights,40.6955775,-73.9952814,neighbourhood,,neighbourhood,,,,,,way
way/244585094,Cobble Hill Historic District,40.6873697,-73.9965045,neighbourhood,,neighbourhood,,,,,,way
way/244645482,Carroll Gardens Historic District,40.6800528,-73.9934464,neighbourhood,,neighbourhood,,,,,,way
way/244646119,Boerum Hill Historic District,40.6855404,-73.9859521,neighbourhood,protected_area,neighbourhood,,,,,,way
way/271286173,Bushwick,40.6964385,-73.9192219,neighbourhood,,neighbourhood,,,,,,way
way/325838827,Middle Village,40.7183976,-73.8822833,neighbourhood,,neighbourhood,,,,,,way
way/325838828,Rego Park,40.723409,-73.8627982,neighbourhood,,neighbourhood,,,,,,way
way/325933623,Ridgewood,40.7028453,-73.9070643,neighbourhood,,neighbourhood,,,,,,way
way/328237102,South Street Seaport Historic District,40.7052818,-74.0029892,unknown,administrative,,,,,,,way
way/338075742,LeFrak City,40.7363212,-73.8623147,neighbourhood,,neighbourhood,,,,,,way
way/341467207,Bellmans Creek,40.8181465,-74.0242124,6,administrative,,,,,,,way
way/351304122,Park Slope,40.6707289,-73.9813338,neighbourhood,,neighbourhood,,,,,,way
way/399256097,Chelsea District,40.7471381,-73.9980827,neighbourhood,,neighbourhood,,,,,,way
way/435231484,Fort Greene,40.6901112,-73.9747704,neighbourhood,,neighbourhood,,,,,,way
way/501004935,Boerum Hill,40.6857934,-73.9852945,neighbourhood,,neighbourhood,,,,,,way
way/501082581,Downtown Brooklyn,40.6914533,-73.9855931,neighbourhood,,neighbourhood,,,,,,way
way/702492597,Diamond District,40.7573718,-73.9801578,neighbourhood,,neighbourhood,,,,,,way
way/736935895,Flower District,40.7465957,-73.9920009,neighbourhood,,neighbourhood,,,,,,way
way/753583267,Greenpoint Landing,40.7355201,-73.9604997,neighbourhood,,neighbourhood,,,,,,way
way/889308674,Bergenline Avenue,40.7821841,-74.0214138,8,administrative,,,,,,,way
way/965426139,Bergenline Avenue,40.7823037,-74.0213133,8,administrative,,,,,,,way
way/1127609598,South Street Seaport Historic District,40.7081018,-74.0020943,unknown,administrative,,,,,,,way
way/1127851304,South Street Seaport Historic District,40.7069498,-74.0040327,unknown,administrative,,,,,,,way
way/1224593107,South Street Seaport Historic District,40.7064747,-74.0044701,unknown,administrative,,,,,,,way
way/1280967989,Greenpoint,40.7289732,-73.9460045,neighbourhood,,neighbourhood,,,,,,way
relation/61320,New York,42.7462195,-75.7764739,4,administrative,,,,,,,relation
relation/170591,Carlstadt,40.8280889,-74.0665952,8,administrative,,,,,,,relation
relation/170592,Cliffside Park,40.820493,-73.987564,8,administrative,,,,,,,relation
relation/170593,Edgewater,40.822881,-73.9743625,8,administrative,,,,,,,relation
relation/170616,Fairview,40.817711,-74.002284,8,administrative,,,,,,,relation
relation/170636,Ridgefield,40.8297698,-74.012157,8,administrative,,,,,,,relation
relation/170706,West New York,40.7855636,-74.008306,8,administrative,,,,,,,relation
relation/170707,Guttenberg,40.792429,-74.0036745,8,administrative,,,,,,,relation
relation/170708,Hoboken,40.7447448,-74.0291169,8,administrative,,,,,,,relation
relation/170709,Union City,40.7667435,-74.030329,8,administrative,,,,,,,relation
relation/170711,Secaucus,40.7783773,-74.0639904,8,administrative,,,,,,,relation
relation/170953,Jersey City,40.7152798,-74.0686625,8,administrative,,,,,,,relation
relation/175905,New York,40.697104,-73.979538,5,administrative,,United States,New York,,,New York,relation
relation/224951,New Jersey,40.0743902,-74.728507,4,administrative,,,,,,,relation
relation/369518,Kings County,40.6448865,-73.9448165,6,administrative,county,,,,,,relation
relation/369519,Queens County,40.652128,-73.8720065,6,administrative,county,,,,,,relation
relation/957237,North Bergen,40.7904695,-74.0208103,8,administrative,,,,,,,relation
relation/957238,Weehawken,40.7686882,-74.0171598,8,administrative,,,,,,,relation
relation/957239,Hudson County,40.732779,-74.0753714,6,administrative,,,New Jersey,,,New Jersey,relation
relation/958930,Bergen County,40.9482476,-74.083056,6,administrative,,,,,,,relation
relation/2552450,Bronx County,40.8516845,-73.8411405,6,administrative,county,,,,,,relation
relation/2552485,New York County,40.780833,-73.9769955,6,administrative,county,,,,,,relation
relation/7339672,Manhattan Community Board 9,40.8194467,-73.9584765,10,administrative,,,,,,,relation
relation/7339673,Manhattan Community Board 10,40.8163155,-73.9461572,10,administrative,,,,,,,relation
relation/7339674,Manhattan Community Board 11,40.7976862,-73.9328022,10,administrative,,,,,,,relation
relation/7340018,Manhattan Community Board 8,40.768753,-73.9539616,10,administrative,,,,,,,relation
relation/7340021,Manhattan Community Board 7,40.7880625,-73.97939,10,administrative,,,,,,,relation
relation/7340058,Manhattan Community Board 6,40.7424943,-73.9698449,10,administrative,,,,,,,relation
relation/7340060,Manhattan Community Board 5,40.7508678,-73.9826364,10,administrative,,,,,,,relation
relation/7340066,Manhattan Community Board 4,40.7567577,-73.9994146,10,administrative,,,,,,,relation
relation/7340074,Manhattan Community Board 3,40.7193497,-73.982109,10,administrative,,,,,,,relation
relation/7340075,Manhattan Community Board 2,40.7298442,-74.0055852,10,administrative,,,,,,,relation
relation/7340078,Manhattan Community Board 1,40.7035805,-74.0208924,10,administrative,,,,,,,relation
relation/8398098,Herald Square,40.7495406,-73.9879779,neighbourhood,place,neighbourhood,,,,,,relation
relation/8398104,Stuy Town,40.7317364,-73.976883,neighbourhood,place,neighbourhood,,,,,,relation
relation/8398124,Manhattan,40.780833,-73.9769955,7,administrative,,,,,,,relation
relation/9691750,Brooklyn,40.6448865,-73.9448165,7,administrative,,,,,,,relation
relation/9691819,Queens,40.652128,-73.8720065,7,administrative,,,,,,,relation
relation/9691916,The Bronx,40.8516845,-73.8411405,7,administrative,,,,,,,relation
