region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/17807753,Paris,48.8534951,2.3483915,2,,city,,,,,,node
node/26686593,Boulogne-Billancourt,48.8356649,2.240206,city,,city,,,,,,node
node/26691586,Nanterre,48.8924273,2.2071267,town,,town,,,,,,node
node/26691621,Les Lilas,48.8795658,2.415796,town,,town,,,,,,node
node/26691761,Neuilly-sur-Seine,48.884683,2.2695658,town,,town,,,,,,node
node/26691805,Malakoff,48.8211559,2.3019814,town,,town,,,,,,node
node/26691807,Saint-Mandé,48.8432434,2.4159739,town,,town,,,,,,node
node/26691856,Courbevoie,48.8953328,2.2561602,town,,town,,,,,,node
node/26691883,Le Pré-Saint-Gervais,48.8830565,2.4040111,town,,town,,,,,,node
node/26691894,Suresnes,48.8709053,2.2255727,town,,town,,,,,,node
node/26692000,Issy-les-Moulineaux,48.8250508,2.273457,town,,town,,,,,,node
node/26692029,Saint-Cloud,48.8437412,2.219344,town,,town,,,,,,node
node/26692150,Bagnolet,48.8688199,2.4173658,town,,town,,,,,,node
node/26692216,Montreuil,48.8623357,2.4412184,city,,city,,,,,,node
node/26692309,Romainville,48.8852958,2.4358326,town,,town,,,,,,node
node/26692429,Vanves,48.8212037,2.289259,town,,town,,,,,,node
node/26692567,Levallois-Perret,48.892956,2.2881683,town,,town,,,,,,node
node/26692611,Sèvres,48.8247407,2.2127083,town,,town,,,,,,node
node/148950780,15e Arrondissement,48.8411228,2.2927657,suburb,,suburb,,,,,,node
node/161608370,6e Arrondissement,48.8504333,2.3329507,suburb,,suburb,,,,,,node
node/175517170,14e Arrondissement,48.8328514,2.3267231,9,,suburb,,,,,,node
node/237417884,5e Arrondissement,48.8459728,2.3443504,suburb,,suburb,,,,,,node
node/237422047,13e Arrondissement,48.8290105,2.3636124,suburb,,suburb,,,,,,node
node/241092821,17e Arrondissement,48.8869265,2.3065472,suburb,,suburb,,,,,,node
node/241099674,8e Arrondissement,48.8737284,2.3103932,suburb,,suburb,,,,,,node
node/248177663,7e Arrondissement,48.8564911,2.3128,suburb,,suburb,,,,,,node
node/252815182,Butte-aux-Cailles,48.8277114,2.3496759,neighbourhood,,neighbourhood,,,,,,node
node/253081032,Croix de Chavaux,48.8578981,2.4363625,quarter,,quarter,,,,,,node
node/253456008,1er Arrondissement,48.8646144,2.334396,suburb,,suburb,,,,,,node
node/317476952,18e Arrondissement,48.8900117,2.3464668,suburb,,suburb,,,,,,node
node/415971847,Cité des Auteurs,48.8840565,2.4126486,neighbourhood,,neighbourhood,,,,,,node
node/415972911,Les Sept Chemins,48.8682595,2.4485893,quarter,,quarter,,,,,,node
node/517969463,16e Arrondissement,48.8636341,2.276485,suburb,,suburb,,,,,,node
node/938320028,2e Arrondissement,48.868743,2.341688,suburb,,suburb,,,,,,node
