region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/13766017,Surry Hills,-33.8845123,151.2100301,suburb,,suburb,,,,,,node
node/13766899,Sydney,-33.8698439,151.2082848,city,,city,,,,,,node
node/13766915,Pyrmont,-33.8692145,151.1923633,suburb,,suburb,,,,,,node
node/13887183,Woolloomooloo,-33.8718758,151.2192218,suburb,,suburb,,,,,,node
node/14697010,Bondi Beach,-33.8906977,151.2724119,suburb,,suburb,,,,,,node
node/15158970,Chippendale,-33.8863291,151.1998211,suburb,,suburb,,,,,,node
node/18370040,North Sydney,-33.8354519,151.2083011,town,,town,,,,,,node
node/18372989,Darling Point,-33.8730723,151.2376378,suburb,,suburb,,,,,,node
node/18372993,Point Piper,-33.8676276,151.2515727,suburb,,suburb,,,,,,node
node/18372994,Double Bay,-33.8766373,151.24245,suburb,,suburb,,,,,,node
node/18372995,Vaucluse,-33.8558564,151.2761018,suburb,,suburb,,,,,,node
node/18373862,Watsons Bay,-33.8432736,151.2825736,suburb,,suburb,,,,,,node
node/18373863,Bondi Junction,-33.8930034,151.2501228,suburb,,suburb,,,,,,node
node/18375403,St Leonards,-33.8225666,151.1923402,suburb,,suburb,,,,,,node
node/18375406,Kirribilli,-33.8476659,151.2158138,suburb,,suburb,,,,,,node
node/18375407,Mosman,-33.8301355,151.2447663,suburb,,suburb,,,,,,node
node/18375409,Neutral Bay,-33.8342887,151.2182049,suburb,,suburb,,,,,,node
node/18375410,Cammeray,-33.8222738,151.2139868,suburb,,suburb,,,,,,node
node/18802313,Redfern,-33.8931044,151.2040292,suburb,,suburb,,,,,,node
node/19966821,Crows Nest,-33.8256273,151.2014745,suburb,,suburb,,,,,,node
node/19977678,Waverton,-33.8375313,151.1973535,suburb,,suburb,,,,,,node
node/20955136,Tamarama,-33.8987452,151.2710753,suburb,,suburb,,,,,,node
node/20958967,Millers Point,-33.8591,151.2042529,suburb,,suburb,,,,,,node
node/21398002,The Rocks,-33.859992,151.2083216,suburb,,suburb,,,,,,node
node/25843274,Camperdown,-33.8896116,151.1800986,suburb,,suburb,,,,,,node
node/25921070,Paddington,-33.8841572,151.2272766,suburb,,suburb,,,,,,node
node/26376006,Balmain,-33.8583992,151.1807353,suburb,,suburb,,,,,,node
node/26410146,Balmain East,-33.8571789,151.192354,suburb,,suburb,,,,,,node
node/26410541,Glebe Point,-33.8712418,151.1804934,neighbourhood,,neighbourhood,,,,,,node
node/117107212,Greenwich,-33.8300104,151.1855621,suburb,,suburb,,,,,,node
node/117123990,Balmoral,-33.8316667,151.2511111,neighbourhood,,neighbourhood,,,,,,node
node/117124009,Clifton Gardens,-33.84,151.2511111,neighbourhood,,neighbourhood,,,,,,node
node/117124039,Cremorne,-33.8260081,151.2254326,suburb,,suburb,,,,,,node
node/117124063,Cremorne Point,-33.8409547,151.2279762,suburb,,suburb,,,,,,node
node/117124077,Lavender Bay,-33.8432002,151.2074155,suburb,,suburb,,,,,,node
node/117124087,McMahons Point,-33.8443387,151.2027957,suburb,,suburb,,,,,,node
node/117124112,Milsons Point,-33.8471255,151.2115234,suburb,,suburb,,,,,,node
node/117182719,Centennial Park,-33.8977778,151.2338889,suburb,,suburb,,,,,,node
node/117182757,Centennial Square,-33.89,151.2344444,suburb,,suburb,,,,,,node
node/117198599,Eveleigh,-33.895,151.1913889,suburb,,suburb,,,,,,node
node/117198625,Macdonaldtown,-33.8983333,151.1927778,neighbourhood,,neighbourhood,,,,,,node
node/117198666,Strawberry Hills,-33.8892149,151.2084122,neighbourhood,,neighbourhood,,,,,,node
node/117198736,Darlington,-33.890862,151.1932156,suburb,,suburb,,,,,,node
node/117198756,Haymarket,-33.8814408,151.2044524,suburb,,suburb,,,,,,node
node/117198815,Moore Park,-33.8958333,151.2219444,suburb,,suburb,,,,,,node
node/117198833,Wynyard,-33.8650257,151.2057288,neighbourhood,,neighbourhood,,,,,,node
node/117202326,Queens Park,-33.8991667,151.2472222,suburb,,suburb,,,,,,node
node/117202360,North Bondi,-33.882351,151.2768611,suburb,,suburb,,,,,,node
node/117202372,Bondi,-33.8930556,151.2633333,suburb,,suburb,,,,,,node
node/117202392,Dover Heights,-33.8739831,151.2810366,suburb,,suburb,,,,,,node
node/117205684,Woollahra,-33.8857968,151.2440867,suburb,,suburb,,,,,,node
node/117205706,Bellevue Hill,-33.8797123,151.2561988,suburb,,suburb,,,,,,node
node/117205722,Rose Bay,-33.8741644,151.265471,suburb,,suburb,,,,,,node
node/1587002601,Ultimo,-33.8794728,151.1984346,suburb,,suburb,,,,,,node
node/1587090504,Glebe,-33.8777782,151.1862377,suburb,,suburb,,,,,,node
node/1647971432,Potts Point,-33.867522,151.2243115,suburb,,suburb,,,,,,node
node/1712374560,Kurraba Point,-33.8415873,151.223028,suburb,,suburb,,,,,,node
node/2292085073,Newtown,-33.8961132,151.1801893,suburb,,suburb,,,,,,node
node/3727200648,Barangaroo,-33.8614084,151.2016877,suburb,,suburb,,,,,,node
node/3824229161,Wollstonecraft,-33.8332039,151.1959273,suburb,,suburb,,,,,,node
node/3848628371,Birchgrove,-33.8507685,151.1830352,suburb,,suburb,,,,,,node
node/3877388370,Edgecliff,-33.8797692,151.2361116,suburb,,suburb,,,,,,node
