region_id,name,latitude,longitude,admin_level,boundary,place,country,state,county,city,parent_name,source_type
node/57519541,神楽坂,35.7010851,139.7412287,quarter,,quarter,,,,,,node
node/57533371,恵比寿,35.6462954,139.714385,quarter,,quarter,,,,,,node
node/57534062,広尾,35.6522569,139.7175844,quarter,,quarter,,,,,,node
node/57536180,新橋,35.6651059,139.7561163,quarter,,quarter,,,,,,node
node/57542483,目黒区,35.6408352,139.6985376,city,,city,,,,,,node
node/265018692,東京都,35.6768601,139.7638947,2,,city,,,,,,node
node/661127358,上原,35.6669782,139.6806824,quarter,,quarter,,,,,,node
node/664479961,文京区,35.7080255,139.7523066,city,,city,,,,,,node
node/777895924,東中野,35.7044839,139.6832333,quarter,,quarter,,,,,,node
node/790668011,松濤,35.6607632,139.6920068,quarter,,quarter,,,,,,node
node/790757596,上落合,35.7114276,139.6836606,quarter,,quarter,,,,,,node
node/876619059,本町,35.6841449,139.6806558,quarter,,quarter,,,,,,node
node/1042491447,台東区,35.7125805,139.7800712,city,,city,,,,,,node
node/1042516435,千代田区,35.6940537,139.7535006,city,,city,,,,,,node
node/1111454595,中央区,35.6706436,139.7719923,7,,city,,,,,,node
node/1111454640,港区,35.6580089,139.7515137,7,,city,,,,,,node
node/1438867377,渋谷区,35.6637109,139.6976941,city,,city,,,,,,node
node/1952395613,歌舞伎町,35.6945429,139.7027105,quarter,,quarter,,,,,,node
node/2088086008,南青山六丁目,35.6607745,139.7165651,neighbourhood,,neighbourhood,,,,,,node
node/2121099765,宇田川町,35.6620752,139.6974957,neighbourhood,,neighbourhood,,,,,,node
node/2183413256,渋谷一丁目,35.6618126,139.7050733,neighbourhood,,neighbourhood,,,,,,node
node/2389061853,新宿区,35.6937632,139.7036319,city,,city,,,,,,node
node/2696911263,神田美土代町,35.6932147,139.7656475,neighbourhood,,neighbourhood,,,,,,node
node/2696912715,神田司町二丁目,35.693464,139.767523,neighbourhood,,neighbourhood,,,,,,node
node/2696927498,神田多町二丁目,35.693856,139.769189,neighbourhood,,neighbourhood,,,,,,node
node/2697772414,神田美倉町,35.6909796,139.774406,neighbourhood,,neighbourhood,,,,,,node
node/2697776305,神田西福田町,35.691334,139.774244,neighbourhood,,neighbourhood,,,,,,node
node/2697791623,神田北乗物町,35.692455,139.773897,neighbourhood,,neighbourhood,,,,,,node
node/2697795469,神田紺屋町,35.6920036,139.7741043,neighbourhood,,neighbourhood,,,,,,node
node/2697799161,神田富山町,35.6936145,139.7734213,neighbourhood,,neighbourhood,,,,,,node
node/2697809034,神田東松下町,35.6944834,139.7736525,neighbourhood,,neighbourhood,,,,,,node
node/2697818549,神田岩本町,35.6957381,139.7749901,neighbourhood,,neighbourhood,,,,,,node
node/2697827804,神田東紺屋町,35.6929901,139.7746461,neighbourhood,,neighbourhood,,,,,,node
node/2697915957,千代田,35.685403,139.752738,neighbourhood,,neighbourhood,,,,,,node
node/2700294306,皇居外苑,35.679944,139.758466,neighbourhood,,neighbourhood,,,,,,node
node/2706955206,麻布台,35.6596917,139.7412077,quarter,,quarter,,,,,,node
node/2706980759,麻布十番,35.6542621,139.7366855,quarter,,quarter,,,,,,node
node/2706994591,麻布永坂町,35.6586313,139.7378931,neighbourhood,,neighbourhood,,,,,,node
node/2707006512,麻布狸穴町,35.6588546,139.7394096,neighbourhood,,neighbourhood,,,,,,node
node/2707186442,神田佐久間河岸,35.697048,139.777798,neighbourhood,,neighbourhood,,,,,,node
node/2708843377,神田平河町,35.698036,139.775653,neighbourhood,,neighbourhood,,,,,,node
node/2709381402,神田和泉町,35.699704,139.777907,neighbourhood,,neighbourhood,,,,,,node
node/2709399751,神田松永町,35.70031,139.775293,neighbourhood,,neighbourhood,,,,,,node
node/2892138263,日比谷公園,35.673889,139.756191,neighbourhood,,neighbourhood,,,,,,node
node/2893344142,豊海町,35.6533124,139.7693873,neighbourhood,,neighbourhood,,,,,,node
node/3215447442,隼町,35.6810713,139.7428806,neighbourhood,,neighbourhood,,,,,,node
node/3700829607,紀尾井町,35.6808358,139.7354864,neighbourhood,,neighbourhood,,,,,,node
node/4881037222,秋葉原,35.7018928,139.7743684,neighbourhood,,neighbourhood,,,,,,node
node/5296991942,渋谷,35.6610748,139.7037525,quarter,,quarter,,,,,,node
node/5732714911,六本木,35.6624568,139.7334981,quarter,,quarter,,,,,,node
node/5732715872,赤坂,35.6716786,139.7356224,quarter,,quarter,,,,,,node
node/6281956001,新宿二丁目,35.6900255,139.7089198,neighbourhood,,neighbourhood,,,,,,node
node/8096977931,両国一丁目,35.694107,139.789858,neighbourhood,,neighbourhood,,,,,,node
node/8354653148,新橋六丁目,35.661548,139.7544341,neighbourhood,,neighbourhood,,,,,,node
node/8354653149,新橋五丁目,35.663092,139.7553769,neighbourhood,,neighbourhood,,,,,,node
node/8354653150,新橋四丁目,35.6644071,139.7559549,neighbourhood,,neighbourhood,,,,,,node
node/8354653151,新橋三丁目,35.6655555,139.7563666,neighbourhood,,neighbourhood,,,,,,node
node/8354653152,新橋二丁目,35.6668663,139.7574154,neighbourhood,,neighbourhood,,,,,,node
node/8354653153,新橋一丁目,35.6680092,139.7584668,neighbourhood,,neighbourhood,,,,,,node
node/8354653154,愛宕二丁目,35.66291,139.748674,neighbourhood,,neighbourhood,,,,,,node
node/8354653155,愛宕一丁目,35.6651241,139.7492199,neighbourhood,,neighbourhood,,,,,,node
node/8354653156,西新橋三丁目,35.663287,139.751485,neighbourhood,,neighbourhood,,,,,,node
node/8354653157,西新橋二丁目,35.6661548,139.7524774,neighbourhood,,neighbourhood,,,,,,node
node/8354653158,西新橋一丁目,35.6687435,139.7534296,neighbourhood,,neighbourhood,,,,,,node
node/8354653159,虎ノ門五丁目,35.6625941,139.7439882,neighbourhood,,neighbourhood,,,,,,node
node/8354653160,虎ノ門四丁目,35.6648408,139.744758,neighbourhood,,neighbourhood,,,,,,node
node/8354653161,虎ノ門三丁目,35.664357,139.7474912,neighbourhood,,neighbourhood,,,,,,node
node/8354653162,虎ノ門二丁目,35.6684515,139.7463848,neighbourhood,,neighbourhood,,,,,,node
node/8354653163,虎ノ門一丁目,35.6683393,139.750109,neighbourhood,,neighbourhood,,,,,,node
node/8354653164,八丁堀四丁目,35.674321,139.776477,neighbourhood,,neighbourhood,,,,,,node
node/8354653165,八丁堀三丁目,35.675598,139.77503,neighbourhood,,neighbourhood,,,,,,node
node/8354653166,八丁堀一丁目,35.677565,139.776823,neighbourhood,,neighbourhood,,,,,,node
node/8354653167,八丁堀二丁目,35.67656,139.776403,neighbourhood,,neighbourhood,,,,,,node
node/8354653169,日本橋茅場町二丁目,35.679003,139.779308,neighbourhood,,neighbourhood,,,,,,node
node/8354653170,日本橋茅場町一丁目,35.68074,139.779843,neighbourhood,,neighbourhood,,,,,,node
node/8354653171,日本橋兜町,35.681076,139.777678,neighbourhood,,neighbourhood,,,,,,node
node/8354653172,銀座八丁目,35.666698,139.763463,neighbourhood,,neighbourhood,,,,,,node
node/8354653173,銀座七丁目,35.668438,139.763386,neighbourhood,,neighbourhood,,,,,,node
node/8354653174,銀座六丁目,35.669261,139.764429,neighbourhood,,neighbourhood,,,,,,node
node/8354653175,銀座五丁目,35.670113,139.765481,neighbourhood,,neighbourhood,,,,,,node
node/8354653176,銀座四丁目,35.67117,139.766249,neighbourhood,,neighbourhood,,,,,,node
node/8354653177,銀座三丁目,35.671967,139.767249,neighbourhood,,neighbourhood,,,,,,node
node/8354653178,銀座一丁目,35.673632,139.770301,neighbourhood,,neighbourhood,,,,,,node
node/8354653179,銀座二丁目,35.672914,139.768126,neighbourhood,,neighbourhood,,,,,,node
node/8354653180,京橋三丁目,35.675404,139.769895,neighbourhood,,neighbourhood,,,,,,node
node/8354653181,京橋二丁目,35.676656,139.771221,neighbourhood,,neighbourhood,,,,,,node
