poi_id,name,latitude,longitude,category
node/83582435,Central Pointe,40.7247943,-111.8968387,stop_position
node/83582454,Ballpark,40.7425824,-111.8967604,stop_position
node/83632690,Memory Grove Park Entrance,40.7762717,-111.8855083,other
node/83718242,North Campus Drive / Federal Heights (WB),40.7724643,-111.8423918,stop_position
node/150932124,Majestic Heights,40.6802251,-111.8024329,other
node/150932148,Morton Meadows,40.7828555,-111.9444025,other
node/150932158,Family Estates,40.6951771,-112.0419605,other
node/150932186,East Holladay Condominium,40.6666142,-111.8077107,other
node/150932267,West Hills,40.6471689,-112.0260505,other
node/150932269,Sunny Side,40.6993906,-112.019661,other
node/150932270,Peach Grove Addition,40.7399461,-111.9338263,other
node/150932278,Esquire Acres Five,40.6724473,-111.8179888,other
node/150932354,Terminal,40.755779,-112.0093843,other
node/150932401,Bonneville Acres,40.6882791,-112.0771635,other
node/150932712,Den-Mar Condominium,40.7068899,-112.089664,other
node/150932747,West Haven,40.7082796,-111.9832719,other
node/150932777,Vista Village,40.678836,-111.8677126,other
node/150932781,Casto Gardens,40.6616142,-111.8135442,other
node/150932992,Mountain View Park Condo,40.6725336,-111.9240403,other
node/150932994,Harvestland Estates Condo,40.6743912,-111.9521596,other
node/150933073,Oakwood Acres,40.6466143,-111.843545,other
node/150933078,Wendell Circle,40.6932322,-111.8798431,other
node/150933082,Asbury Park Addition,40.7218907,-111.9557712,other
node/150933284,Arborwood Park,40.660503,-111.8291002,other
node/150933346,Holladay Heights,40.6813361,-111.827433,other
node/150933353,Skyview,40.6405086,-111.988998,other
node/150933389,The Sultan Valley Downs,40.7043907,-111.9991057,other
node/150933420,Coventry Manor Condominium,40.6952243,-111.9663269,other
node/150933427,Velasquez,40.6930024,-111.8977136,other
node/150933429,Donjean,40.6807804,-111.8521566,other
node/150933431,Parkcrest,40.6799546,-111.8551994,other
node/150933631,Highland Orchard Condominium,40.6807805,-111.8441008,other
node/150933700,Spring Run,40.6610585,-111.8488231,other
node/150933749,Sherwood Forest Addition,40.761057,-111.929104,other
node/150933753,Colony Estates,40.6649468,-111.978827,other
node/150933760,Yale Heights,40.7438353,-111.8349343,other
node/150933762,Fairview Park,40.7091121,-112.1029977,other
node/150933766,Bullock,40.7552238,-111.9354931,other
node/150933881,Bailey Meadows,40.6896683,-112.0402179,other
node/150933898,Holladay Edgehill,40.6563364,-111.8179887,other
node/150933902,Sleepy Hollow Two,40.6666141,-111.8107664,other
node/150933906,Vegas,40.6782805,-111.832156,other
node/150934049,Holladay Gardens,40.6582808,-111.8168776,other
node/150934134,Roseland Addition,40.7243909,-111.8927137,other
node/150934136,South Main Street Addition,40.739113,-111.8913249,other
node/150934374,Benview,40.6727245,-111.990494,other
node/150934387,Park Place,40.6480031,-111.8466006,other
node/150934439,Polaris Gardens Condominium,40.7755016,-111.8827139,other
node/150934549,Thirteenth Avenue,40.7838349,-111.8679914,other
node/150934751,Stev Linda,40.6807806,-111.8104886,other
node/150934885,La Dore,40.6752249,-111.8693793,other
node/150934896,Willow Place,40.7888345,-111.9446605,other
node/150935002,Yale Park,40.7443908,-111.8463236,other
node/150935129,Federal Heights,40.7757795,-111.8446572,other
node/150935219,Salt Lake City,40.7596198,-111.886797,other
node/150935259,Stephanie Estates,40.6943902,-112.0668854,other
node/150935327,Smiths,40.7371684,-111.9354929,other
node/150935364,Copperview Village Condominium,40.7110568,-112.06883,other
node/150935374,Westminster Heights,40.7277244,-111.849379,other
node/150935677,Willes,40.6716139,-111.8704904,other
node/150935724,Woodbridge Condominium,40.6643917,-111.8438229,other
node/150935768,Amos Addition,40.7924457,-111.9316046,other
node/150935856,Virginia Heights,40.7723747,-111.852211,other
node/150935992,West Temple Addition,40.7382796,-111.8952138,other
node/150935994,Western Park,40.7102242,-111.9621602,other
node/150936012,Brookhaven,40.6980019,-112.0118838,other
node/150936015,Golden Park,40.7613349,-111.925215,other
node/150936059,Little Acres,40.6777249,-111.8752128,other
node/150936063,Olympus View,40.6432809,-111.8518785,other
node/150936374,Dial Heights,40.6843908,-112.0196617,other
node/150936641,Ridge Road,40.6505032,-111.8129885,other
node/150936882,Eddie Kay,40.6793915,-111.8518788,other
node/150936893,Westbrook Park,40.7082797,-111.9738272,other
node/150936929,Maplewood Addition,40.771612,-112.0460523,other
node/150936949,Wane/Match,40.6772127,-112.0261334,other
node/150937091,Manuela,40.6743917,-111.8115997,other
node/150937174,Jennings North Salt Lake,40.7922188,-111.9282877,other
node/150937271,Birchwood Estates,40.6455031,-111.864378,other
node/150937286,Bay,40.6535586,-111.8377115,other
node/150937299,Larsen Estates,40.687724,-112.031884,other
node/150937303,Aix La Chapelle Condominium,40.6666141,-111.8257668,other
node/150937348,Avondale,40.7789048,-111.9467567,other
node/150937406,Woodview Heights,40.6457799,-112.0399398,other
node/150937492,Westridge,40.701613,-112.0004946,other
node/150937519,Whalons Addition,40.752446,-111.9238261,other
node/150937521,Holladay Acres,40.669114,-111.8382672,other
node/150937602,Jordan Place,40.7573956,-111.9233649,other
node/150937637,Cambria Pines,40.6555032,-111.8090995,other
node/150937641,Rustic Acres,40.6757805,-111.841045,other
node/150937689,Stone Hollow Condo,40.6563358,-111.9782713,other
node/150937718,Dunfords,40.782446,-111.8679913,other
node/150937724,Carlton Towers Condominium,40.7735571,-111.881325,other
node/150937811,Heather Glen Condo,40.6735579,-111.9504928,other
node/150937901,Belle Meadows,40.6418919,-111.8607677,other
node/150937907,Catherine Circle,40.7830785,-111.9322939,other
node/150937914,Oquirlane,40.6982789,-112.0885528,other
node/150937916,Wright Efficiency Park,40.7851408,-111.9133779,other
node/150938167,Wells,40.691336,-111.8157667,other
node/150938169,Mountain Men Estates,40.6588355,-112.020217,other
node/150938171,Polaris Gardens,40.6545802,-112.022156,other
