id,name,latitude,longitude,kind,category,is_search_only,source,search_text
node/666,Hell's Kitchen,40.7644228,-73.9923918,neighbourhood,other,false,osm,hell's kitchen
node/42437096,Beastie Boys Square,40.7200786,-73.9883599,square,other,false,osm,beastie boys square
node/42446945,Brothers to the Rescue Corner,40.7489187,-73.977901,poi,other,false,osm,brothers to the rescue corner
node/42455867,Frieda Zames Way,40.725203,-73.987053,poi,other,false,osm,frieda zames way
node/42735668,3rd Avenue–138th Street,40.8108388,-73.9269606,poi,stop_position,false,osm,3rd avenue–138th street
node/42844306,William Modell Way,40.7489275,-73.9373948,poi,other,false,osm,william modell way
node/42874175,Emma Brandt Way,40.760435,-73.893829,poi,other,false,osm,emma brandt way
node/61785451,New York,40.7127281,-74.0060152,city,other,false,osm,new york
node/66331480,Hoboken Terminal,40.7347745,-74.0279703,poi,stop_position,false,osm,hoboken terminal
node/100515086,Grand Central Terminal,40.7530803,-73.9769948,poi,stop_position,false,osm,grand central terminal
node/103856238,Hoboken Terminal,40.7350962,-74.0279784,poi,stop_position,false,osm,hoboken terminal
node/103858028,Hoboken Terminal,40.7347369,-74.0279693,poi,stop_position,false,osm,hoboken terminal
node/103860550,Hoboken Terminal,40.7348949,-74.0279733,poi,stop_position,false,osm,hoboken terminal
node/103885536,Hoboken Terminal,40.7345383,-74.0279644,poi,stop_position,false,osm,hoboken terminal
node/103885770,Hoboken Terminal,40.7353263,-74.0287397,poi,stop_position,false,osm,hoboken terminal
node/158797645,Sunnyside,40.7398242,-73.9354153,neighbourhood,other,false,osm,sunnyside
node/158801311,Alphabet City,40.7251022,-73.9795833,neighbourhood,yes,false,osm,alphabet city
node/158801321,Tribeca,40.7153802,-74.0093063,neighbourhood,other,false,osm,tribeca
node/158801775,East Elmhurst,40.7612123,-73.8651358,neighbourhood,other,false,osm,east elmhurst
node/158802019,Clinton Hill,40.6897222,-73.9652778,neighbourhood,other,false,osm,clinton hill
node/158805148,Clinton,40.7652778,-73.993889,neighbourhood,other,false,osm,clinton
node/158805646,Bushwick Houses,40.7021736,-73.9391531,poi,other,false,osm,bushwick houses
node/158809359,Woodside,40.7453798,-73.9054145,quarter,other,false,osm,woodside
node/158809984,SoHo,40.72288,-73.9987505,neighbourhood,attraction,false,osm,soho
node/158810168,Corona,40.7469593,-73.8601456,neighbourhood,other,false,osm,corona
node/158810597,Fairview,40.8126006,-73.999028,town,other,false,osm,fairview
node/158810928,Fresh Pond Junction,40.7040104,-73.8915251,neighbourhood,other,false,osm,fresh pond junction
node/158811979,Maspeth,40.723158,-73.912637,neighbourhood,other,false,osm,maspeth
node/158813419,Greenpoint,40.7237134,-73.9509714,neighbourhood,other,false,osm,greenpoint
node/158816547,Kips Bay,40.7395463,-73.9770832,neighbourhood,other,false,osm,kips bay
node/158819375,North Bergen,40.8042674,-74.012084,town,other,false,osm,north bergen
node/158821893,Blissville,40.7347214,-73.9377798,neighbourhood,other,false,osm,blissville
node/158823417,Rose Hill,40.743338,-73.9841594,neighbourhood,other,false,osm,rose hill
node/158827461,Weehawken,40.7695457,-74.0204177,town,other,false,osm,weehawken
node/158839157,Upper West Side,40.7870455,-73.9754163,quarter,other,false,osm,upper west side
node/158840157,Jersey City,40.7215682,-74.047455,city,other,false,osm,jersey city
node/158842637,Cobble Hill,40.687547,-73.9973352,neighbourhood,other,false,osm,cobble hill
node/158842914,Long Island City,40.7455316,-73.9484995,quarter,other,false,osm,long island city
node/158842996,East Village,40.7292688,-73.9873613,neighbourhood,other,false,osm,east village
node/158843504,Manhattanville,40.8157775,-73.951554,neighbourhood,other,false,osm,manhattanville
node/158843949,Glendale,40.7014917,-73.8868028,neighbourhood,other,false,osm,glendale
node/158844608,Fresh Pond,40.7070471,-73.90347,neighbourhood,other,false,osm,fresh pond
node/158844866,Washington Square Village,40.7280556,-73.9977778,neighbourhood,other,false,osm,washington square village
node/158846013,Hoboken,40.7433066,-74.0323752,town,other,false,osm,hoboken
node/158853595,Lower East Side,40.7159357,-73.9868057,neighbourhood,other,false,osm,lower east side
node/158855791,Morningside Heights,40.81,-73.9625,neighbourhood,other,false,osm,morningside heights
node/158855831,Sunnyside Gardens,40.7477778,-73.9183333,neighbourhood,other,false,osm,sunnyside gardens
node/158856492,Chinatown,40.7164913,-73.9962504,neighbourhood,other,false,osm,chinatown
node/158856995,Jackson Heights,40.7556561,-73.8857755,neighbourhood,other,false,osm,jackson heights
node/158858271,Mott Haven,40.8089897,-73.9229147,neighbourhood,other,false,osm,mott haven
node/158858760,Midtown,40.7551169,-73.98478,quarter,other,false,osm,midtown
node/158860074,Murray Hill,40.7481574,-73.97875,neighbourhood,other,false,osm,murray hill
node/158860194,Union City,40.7795455,-74.0237512,town,other,false,osm,union city
node/158860957,Medgar Evers Houses,40.6867436,-73.9402979,poi,other,false,osm,medgar evers houses
node/158861717,Greenwich Village,40.7319802,-73.9965658,neighbourhood,other,false,osm,greenwich village
