poi_id,name,latitude,longitude,category
node/60647966,Hartford,41.7661621,-72.6732726,other
node/61967648,Millbrook,41.7865038,-73.6921867,other
node/75427609,Tri-State Marker,42.0495412,-73.4873386,attraction
node/83909229,South Street Crossing,41.3698585,-73.414881,other
node/84005473,Brookfield Junction,41.4526468,-73.3927194,other
node/84005754,CP 256,41.1819782,-73.1866972,other
node/84006278,Greenwood Avenue Crossing,41.3712454,-73.4147395,other
node/84006328,Bethel,41.3756607,-73.4177098,stop_position
node/84021268,Little Red School House,41.3155572,-73.4283377,other
node/84067353,New Canaan,41.1463403,-73.495606,stop_position
node/84067392,Springdale,41.0894932,-73.5175946,stop_position
node/84067414,Glenbrook,41.0714656,-73.5201659,stop_position
node/84067495,Greenwich,41.0212357,-73.624379,stop_position
node/158797844,Bolton,41.7689878,-72.4334173,other
node/158797883,Deaconwood,41.4910619,-72.9292017,other
node/158798291,Huntsville,41.944816,-73.3126174,other
node/158798312,Shippan Point,41.0278749,-73.5237332,other
node/158798317,Mechanicsville,41.9400977,-71.8936833,other
node/158798322,Palmers Hill,41.063708,-73.5659576,other
node/158798332,Mount Kisco,41.2042616,-73.7270761,other
node/158798336,Ponset,41.4650988,-72.5562016,other
node/158798346,Birchwood,41.8975506,-72.7206195,other
node/158798355,Long Hill,41.5656527,-73.0228844,other
node/158798359,Tyler Lake Heights,41.8378731,-73.2703939,other
node/158798364,River Glen,41.7448216,-72.8626002,other
node/158798383,Misquamicut,41.3223315,-71.8112901,other
node/158798392,Luce Landing,40.985655,-72.6181484,other
node/158798548,Bay View,41.0412112,-72.4206403,other
node/158798592,Hands Creek Landing,41.0189885,-72.2025793,other
node/158799206,Mitcheltown,41.8584268,-73.4604004,other
node/158799220,Thamesville,41.5100982,-72.088133,other
node/158799225,Stillmans Corner,41.5625978,-72.8642676,other
node/158799499,Stetson Corner,41.7862094,-72.0075747,other
node/158799510,Merrow,41.8243468,-72.3115028,other
node/158799521,Fenmore Park,40.9867646,-73.7192968,other
node/158799633,Midway,41.3414875,-72.0334082,other
node/158799861,Beixedon Estates,41.0683669,-72.4109201,other
node/158799897,Noroton Heights,41.0703153,-73.4919468,other
node/158799912,Pecks Mill,41.2228747,-73.116498,other
node/158799927,West Norwalk,41.1084299,-73.462343,other
node/158800459,Niantic,41.3246138,-72.1925952,other
node/158800469,Pine Orchard,41.2686519,-72.7810646,other
node/158800479,Lake Pocotopaug,41.5984325,-72.5103654,other
node/158800556,Upper Stepney,41.3225959,-73.265116,other
node/158800567,Berkshire,41.4087069,-73.2595601,other
node/158800638,Spaulding Furnace,42.0278692,-73.6948493,other
node/158800646,Ancramdale,42.0181473,-73.5912358,other
node/158800659,Sears Corners,41.4287052,-73.5773486,other
node/158800742,Dolphin Cove,41.0259305,-73.5492898,other
node/158800851,Twin Lakes Village,41.2988319,-73.5705794,other
node/158800916,Redding Ridge,41.313989,-73.3507331,other
node/158800942,Old Black Point Association,41.2862088,-72.205356,other
node/158800945,Torringford,41.8207255,-73.0805755,other
node/158800948,Bantam,41.724257,-73.2366295,other
node/158800976,East Kent,41.7345393,-73.4037323,other
node/158800983,Stevenson,41.3831518,-73.1845571,other
node/158801431,Spring Hill,41.7870428,-72.2239671,other
node/158801803,Greenfield Hill,41.1764854,-73.2917826,other
node/158801822,Phoenixville,41.877042,-72.0859092,other
node/158801977,Groton,41.34655,-72.0388786,other
node/158802095,Highland Park,41.7650991,-72.495919,other
node/158802105,Pinneys Corners,41.1864848,-73.5226239,other
node/158802181,Rocky Glen,41.4325957,-73.2709493,other
node/158802188,Whitings Corner,41.7873219,-72.7662073,other
node/158802260,North End,41.6167649,-72.8712121,other
node/158802398,West Redding,41.3264842,-73.4342882,other
node/158802408,West Haven,41.2706527,-72.9470471,other
node/158802416,West Shore,41.2423194,-72.9706587,other
node/158802486,Croton Falls,41.3491939,-73.6628239,other
node/158802665,Sarles Corners,41.1842625,-73.5692922,other
node/158802788,Millstone,41.311517,-72.1677824,other
node/158802974,South Millbrook,41.7742599,-73.6980211,other
node/158803068,Stafford Springs,41.9538545,-72.30314,other
node/158803244,Tootin' Hills,41.8587087,-72.8659331,other
node/158803299,Green Manor Village,41.9367638,-72.6595357,other
node/158803388,Wildwood,40.9645426,-72.8120455,other
node/158803432,Alewife Brook Landing,41.0323212,-72.2395249,other
