poi_id,name,latitude,longitude,category
node/21442033,Honolulu,21.304547,-157.855676,other
node/21445111,Hilo,19.7073734,-155.08158,other
node/21500268,Waiakanapo,21.2171004,-157.2005345,cape
node/21500302,Mokio,21.220988,-157.2116686,cape
node/21500372,Anapuka,21.2209674,-157.2456085,cape
node/21500830,Pahu Point,21.1701332,-156.8942791,cape
node/88480537,Kamakalepo Point,22.005401,-160.0921364,cape
node/88481523,Ninini Point,21.9546361,-159.3357369,cape
node/88481693,Paliuli,21.9026513,-160.2082613,cape
node/88482253,Lāʻauʻōkala Point,21.9490474,-159.6654065,cape
node/88483151,Kawelikoa Point,21.9035387,-159.3870604,cape
node/88483742,Pāhau Point,21.8144677,-160.2464028,cape
node/88483972,ʻOʻiamoi Point,21.8385289,-160.173321,cape
node/88484201,Nonopapa,21.8685405,-160.2338624,cape
node/88484246,Makahūʻena Point,21.841157,-160.2470031,cape
node/88486109,Poʻooneone Point,21.8503561,-160.1669419,cape
node/88930375,Nākālele Point,21.0306924,-156.588318,cape
node/88936288,Hōkū‘ula,20.7235703,-155.983873,other
node/88937717,Makaʻalae,20.5611286,-156.6596086,cape
node/88937832,Kiʻi,20.5666253,-156.6430175,cape
node/88938034,Lae ʻO Honokoʻa,20.5545819,-156.6774879,cape
node/88938434,ʻIliʻililoa,20.508538,-156.5874593,cape
node/88938503,Lae ʻO Kūakaʻiwa,20.5081842,-156.5835283,cape
node/88938694,Lae ʻO Kākā,20.512051,-156.54475,cape
node/88939046,Lae ʻO Kaule,20.5692772,-156.5374115,cape
node/88939152,Lae ʻO Kuikui,20.6039234,-156.5732364,cape
node/88939281,Keanakeiki,20.5292609,-156.6997009,cape
node/88939335,Laepakī,20.5442996,-156.6871603,cape
node/88940025,ʻAleʻale,20.5132488,-156.6039817,cape
node/88952928,Nukuʻele Point,20.6047542,-156.4411373,cape
node/88996446,Mokuʻopihi Point,19.5789821,-154.9120388,cape
node/88996447,Auwae,19.5904389,-154.92551,cape
node/88997729,Kaloli Point,19.6212664,-154.9453152,cape
node/88998837,Makakiu Point,19.546961,-154.8503499,cape
node/88999069,Kipu Point,19.5337344,-154.8238072,cape
node/89000566,Waipuku Point,19.3843445,-154.9339876,cape
node/91334967,Lahaina,20.8738769,-156.677678,other
node/91399689,Kaʻala,21.5077472,-158.142296,peak
node/91538612,@03/21,21.9827215,-159.33706,other
node/109024319,Kēahole,19.7280124,-156.035512,other
node/110520419,Whitmore Gate,21.5149109,-158.0065672,other
node/150907212,Keokea,20.7086111,-156.3583333,other
node/150907215,Nanawale Estates,19.5058479,-154.910614,other
node/150915878,Kuliʻouʻou,21.2935094,-157.724306,other
node/150916634,Kēōkea,19.4163612,-155.8791448,other
