poi_id,name,latitude,longitude,category
node/31297071,Kootenai Creek,46.5379164,-114.1509182,other
node/31297224,Hamilton,46.2472045,-114.1555462,other
node/31297225,Bitterroot Brewery,46.2472442,-114.1543145,pub
node/40448496,Big Hole Pass,45.5494546,-113.82077,saddle
node/40489986,Blue Creek Trailhead,45.4474329,-113.1234357,other
node/40554646,Big Hole Pass,45.3299158,-113.24001,saddle
node/40569713,Champion Pass,46.2394882,-112.5855628,saddle
node/40770706,Baxter Creek,45.7327167,-111.1197182,other
node/40793726,Wylie Creek Estates,45.7246176,-111.1389651,other
node/40816285,Truman Saddle,47.9821643,-114.404855,saddle
node/40867530,Smith Lake Trailhead,48.49386,-114.422304,other
node/40981726,Valley Grove,45.7327313,-111.1363096,other
node/41176811,Echo Lake Cosway entrance,48.132057,-114.032418,attraction
node/41216654,Sandstone Ridge Trailhead,46.3984776,-113.6858732,other
node/43086085,Sawmill Saddle,46.449692,-113.850076,saddle
node/43088952,Spring Creek Sheep Viewing Site,46.6501076,-113.6535181,other
node/43110356,Skalkaho Pass,46.2453292,-113.7730811,saddle
node/43112137,East Fork Trailhead,46.0912963,-113.3661938,other
node/43154923,Granite Park Trailhead,48.7549279,-113.8004039,other
node/43246870,Strawberry Lake Trailhead,48.187145,-113.992865,other
node/43276685,Four Corners,45.9456852,-112.2752259,other
node/43296057,Red Rock Trailhead,46.308552,-112.3625394,other
node/43397040,Swan River West Trailhead,48.0634319,-114.0701325,other
node/43482058,Upper Beardance Trailhead,47.948544,-113.9643611,other
node/43563317,Lewis and Clark Pass,47.1427154,-112.4288697,saddle
node/43637331,Wire Trailhead,47.898616,-113.802845,other
node/43637405,Upper Bond Creek Trailhead,47.917893,-113.8164759,other
node/43814847,Dodge Summit,48.9190845,-115.3575319,other
node/43899023,Flesher Pass,46.9751054,-112.3577194,saddle
node/43922058,Stemple Pass,46.8937443,-112.4951311,saddle
node/44049263,Helena Junction,46.6145679,-112.067654,other
node/44271786,Stahl Peak Trailhead,48.9092935,-114.852788,other
node/44271812,Clarence Creek Trailhead,48.9098146,-114.854539,other
node/44305600,Lake Louise Trailhead,45.6087934,-112.0536865,other
node/44480943,Williams Pass,46.9621986,-114.722447,saddle
node/44519278,Schley Saddle,46.8152465,-114.76832,saddle
node/44573201,Clearwater Canoe Trail,47.2258512,-113.535834,other
node/44576305,Edith Peak Trailhead,47.0448368,-114.226808,other
node/44578209,Marshall Mountain Bike Access,46.9014722,-113.9267091,other
node/44620419,South Elk Ridge Trailhead,47.5263842,-113.8063382,other
node/44693905,Woodman Saddle,46.8099705,-114.2130446,saddle
node/44733105,Siegel Pass,47.2596459,-114.7051081,saddle
node/44784010,Yukon Saddle,46.7093698,-113.8140862,saddle
node/44816677,Sousa Trailhead,46.8244311,-113.992517,other
node/44862736,Jumbo Trailhead,46.8686216,-113.9757659,other
node/44880943,Cherry St Trailhead,46.8702602,-113.9761709,other
node/44890619,Lincoln Hills Trailhead,46.897807,-113.949104,other
node/45233001,Mullan Pass,46.643438,-112.3138465,saddle
node/45462506,Bear Creek Saddle,45.8322841,-114.0807162,saddle
node/45467788,2% Saddle,45.9525701,-113.9860098,saddle
node/45495987,Buck Creek Saddle,45.7789049,-114.2257716,saddle
node/45622844,Trapper Creek Trailhead,45.922443,-114.225877,other
node/45658997,Lost Trail Pass,45.6936946,-113.948464,other
node/45705890,Bass Creek Trailhead,46.574442,-114.145795,other
node/45797840,Nez Perce Pass,45.717164,-114.502932,saddle
node/45852510,Horse Creek Pass,45.5036077,-114.3957369,other
node/45940407,Cinnamon Bear Saddle,46.5376945,-113.8456734,saddle
node/45942842,Roaring Lion Trailhead,46.1918431,-114.2422343,other
node/45960854,Porcupine Pass,47.8468655,-115.889591,other
node/46014666,Rainbow Lake Pass,47.5216815,-114.7789032,saddle
node/46046886,Amherst & Harrison,45.9864276,-112.5081167,other
node/46046893,Farragut / Amherst,45.9864394,-112.5027631,platform
node/46288401,Eastham Junction,47.7291585,-112.094136,other
node/46772078,Rattlesnake Summit,46.094676,-117.1533252,other
node/50347454,Bear Pasture Trailhead,48.9173127,-117.1390204,other
node/50372135,North Fork Harvey Creek Trailhead,48.7500279,-117.2019012,other
node/50894544,Junction 2,47.892108,-117.0945258,other
node/50894584,Junction 3,47.8891723,-117.0891319,other
node/50896122,Junction 7,47.8952677,-117.059819,other
node/50970942,Smith Gap,47.9033815,-117.1419964,other
node/51539386,the Idaho State Line,46.4742112,-117.0397702,other
node/59900417,Boise,43.6166163,-116.200886,other
node/59903502,Nampa,43.5780381,-116.5616885,other
node/59905163,Caldwell,43.6678736,-116.689415,other
node/59907915,Meridian,43.6086295,-116.392326,other
node/76470550,Rexburg,43.826079,-111.7837279,other
node/76470660,Rigby,43.6722397,-111.9148632,other
node/82761400,Whitefish,48.4108018,-114.334624,other
node/82761756,Kalispell,48.202158,-114.315321,other
node/82762322,Polson,47.6905295,-114.163761,other
node/82765727,Bozeman,45.6794293,-111.044047,other
node/82773480,Pocatello,42.8620287,-112.450627,other
node/85726438,Arco,43.635336,-113.299953,other
node/90253800,Blackfoot,43.190039,-112.348357,other
node/90254043,Shelley,43.37998,-112.126914,other
node/90641666,Butte,46.0131505,-112.536508,other
node/90644937,Missoula,46.8701049,-113.995267,other
node/91327838,Great Falls,47.5048851,-111.29189,other
node/126161573,Swan Falls,43.2439679,-116.3783661,other
node/126205938,Four Corners Trailhead,44.57058,-116.174857,other
node/126243859,Payette Rim Trailhead,44.9411066,-116.1388274,other
node/126313665,Polar Express,44.9451167,-116.1494707,other
node/126344800,Slate Mountain Trailhead,42.7336857,-112.407361,other
node/126410391,Lead Draw Trailhead,42.7379235,-112.3838368,other
node/126508991,North Fork Hiline Trailhead,42.097986,-111.534563,other
node/126565222,Paris Peak Trailhead,42.1822706,-111.544612,other
node/126642323,Mecham Hollow Trailhead,42.3965,-111.560648,other
node/126656313,Deep Creek Stairway Trailhead,45.2422007,-116.7001409,other
node/126658329,Ajot,47.1487636,-116.917016,other
