poi_id,name,latitude,longitude,category
node/25141246,Topeka,39.049011,-95.677556,other
node/30277443,Clinton Lake Boat Ramp 3,38.9361707,-95.3885433,slipway
node/30277567,Boat Ramp 5,38.9156168,-95.3720427,slipway
node/119332596,Norkan Junction,39.5555939,-95.1511241,other
node/119335197,Lehigh Portland Trails West Trailhead,37.9100754,-95.4056418,other
node/119424440,The Dragoon Slayer Trailhead 1,37.826852,-94.726683,other
node/119582535,Alida,39.2136365,-97.005738,other
node/119639402,Alida,39.2131194,-97.0051349,slipway
node/119924180,Fambrough and Alabama,38.9642778,-95.2465734,platform
node/120121450,Garden City,37.9640722,-100.8733286,stop_position
node/120213700,Fort Riley -- Grant Gate -- RESTRICTED ACCESS,39.060121,-96.8030739,other
node/120213713,Fort Riley -- Grant Gate -- RESTRICTED ACCESS,39.0615716,-96.8018188,other
node/120227378,Fort Riley -- Merli Road Gate -- RESTRICTED ACCESS,39.0783478,-96.8627777,other
node/120297762,Alida,39.137626,-96.9315,other
node/120386190,Nowhere,38.7311123,-95.2414104,other
node/120517522,Youthville,38.0515094,-97.3629996,other
node/120894250,Belvidere Junction,37.4547357,-99.0603467,other
node/120961370,CherryVale Park,37.280191,-95.47194,camp_site
node/121054869,Grant Gate,39.3304195,-94.9210586,other
node/121307459,Mill Street Trailhead,39.963999,-96.603552,other
node/121307550,Harvest Road Trailhead,39.8855605,-96.6495856,other
node/121389912,Deer Trail Road Trailhead,39.9433495,-96.6102058,other
node/121437323,Table Mound Hiking Trail,37.2585997,-95.7793176,other
node/121483376,Eagle Rock Trails Trailhead,37.2779014,-95.7810184,other
node/121589372,Santa Fe RR turntable and roundhouse site,37.6619653,-95.4572833,other
node/121965991,MATC/CiCo Park,39.1981769,-96.6167765,platform
node/121966709,Gate 02 E,39.1530998,-96.6821903,other
node/122024384,Fort Riley -- Ogden Gate ACP -- RESTRICTED ACCESS,39.1093057,-96.7227702,other
node/122219751,CPZ068 Topeka,39.0672016,-95.6716418,other
node/122271835,LakePoint,37.7082182,-97.2329614,other
node/122271847,Country Place,37.7086486,-97.2329494,other
node/123243444,Udall Road,37.500531,-95.597055,other
node/123387306,North Cypress Junction,39.1100394,-94.6188245,other
node/151323000,Clair,39.7849947,-94.7444072,other
node/151323131,Waldron,39.2222245,-94.7932947,other
node/151323518,Mona Kay Heights,37.5989053,-97.3119892,other
node/151323525,Skiddy,38.8680578,-96.7944533,other
node/151323758,Zenith,37.9572371,-98.4920215,other
node/151323784,Floral,37.350919,-96.9206302,other
node/151323795,Wolcott,39.1888916,-94.8016283,other
node/151323796,Holliday,39.038338,-94.8080179,other
node/151323952,Valeda,37.0467336,-95.4480969,other
node/151324249,Alfmil,39.1319449,-97.7222588,other
node/151324310,Basil,37.5164057,-98.0903402,other
node/151324484,Diamond Springs,38.5575109,-96.7444546,other
node/151325054,Maywood,39.130039,-94.8265106,other
node/151325061,Adams,37.4586284,-97.9775583,other
node/151325072,Oakland,39.0666667,-95.6363691,other
node/151325083,Farhman,38.5794553,-98.4992372,other
node/151325199,Logan,39.661675,-99.570385,other
node/151325205,Stockton,39.4367019,-99.2743409,other
node/151325779,Shaw,37.6022722,-95.3174793,other
node/151325889,Colwich,37.7791785,-97.5364351,other
node/151325907,Rago,37.4527954,-98.0817291,other
node/151325916,Fairmont,39.1769416,-96.548891,other
node/151325926,Buckeye,39.046664,-97.166963,other
node/151325932,Acme,38.8425005,-97.2608561,other
node/151326408,Westwood Hills,39.0388942,-94.6099566,other
node/151326437,Ringer,38.5344585,-94.9085748,other
node/151326447,Arnold,38.6402921,-100.0462373,other
node/151326469,Keelville,37.0311783,-94.922733,other
node/151326477,Coleman,37.8641785,-97.463932,other
node/151326486,Orwell,38.0155739,-99.7156802,other
node/151326522,Studley,39.3530598,-100.163744,other
node/151326817,Leoti,38.479741,-101.3587713,other
node/151326837,Ottawa,38.6153828,-95.2678474,other
node/151327204,Scott City,38.4825192,-100.907094,other
node/151327235,Russell Springs,38.9122295,-101.1801504,other
node/151327291,Saffordville,38.4000138,-96.3927797,other
node/151328281,Kilbourns Corner,38.1591789,-98.3261784,other
node/151328364,Dodge City,37.7527982,-100.0170787,other
node/151329184,Pierceville,37.8815893,-100.6764331,other
node/151329258,Sand Spring,38.9069439,-97.2839119,other
node/151329381,Stubbs,39.4249985,-94.7510714,other
node/151329911,Ash Grove,39.1613974,-98.3620041,other
node/151330451,Brewer,39.1244459,-97.7878167,other
node/151330499,Cassoday,38.0392911,-96.6387515,other
node/151330527,Simpson,39.3852814,-97.931432,other
node/151330919,Tarrytown,39.2844458,-94.6780138,other
node/151331170,Scammon,37.2778045,-94.8188877,other
node/151331210,Perth,37.1747453,-97.5053256,other
node/151331620,Fairfax,39.1416704,-94.6127343,other
node/151331639,Dorrance,38.846678,-98.589516,other
node/151331645,Mission Hills,39.0177834,-94.6169014,other
node/151331696,Grove Center,39.0625044,-94.8016287,other
node/151331871,WaKeeney,39.0236309,-99.883729,other
node/151332076,Hiattville,37.7222662,-94.8716353,other
node/151332080,Wonsevu,38.1508506,-96.7722418,other
node/151332092,Yankee Run,38.6513969,-98.0169947,other
node/151332123,Wolf,38.0322448,-101.0990556,other
node/151332324,Washington,39.8180263,-97.0505607,other
node/151332685,Industry,39.1333293,-97.1714082,other
node/151332690,Medina,39.0777779,-95.4210859,other
node/151332705,Dunkirk,37.4844925,-94.7419072,other
node/151332720,Blue Mound,38.0900303,-95.0063593,other
node/151333049,Charleston,37.8648254,-100.5648416,other
node/151333079,Smithfield,39.4811168,-99.8262305,other
node/151333104,Waterville,39.691112,-96.747519,other
node/151333247,Cruppers Corner,37.9700119,-97.9403307,other
node/151333274,Rocky Ford,39.2374964,-96.5897255,other
node/151333958,Belleville,37.1245043,-94.5905056,other
node/151334431,Mackie,37.2520027,-94.850238,other
node/151334437,Deerhead,37.2383583,-98.9117661,other
node/151334484,Virgil,37.9808617,-96.01027,other
node/151334984,Dubuque,38.6958442,-98.6089626,other
node/151334988,Frontenac,37.4556049,-94.689127,other
node/151334993,Montana,37.2753392,-95.1241339,other
node/151335081,Clayton,39.7375045,-100.1776352,other
node/151335116,Medora,38.1488992,-97.8456052,other
node/151335507,Ash Valley,38.3047859,-99.2162734,other
node/151335925,Belmont,37.5236274,-97.9892249,other
node/151335950,Vanora,37.7658508,-96.8891988,other
node/151335956,Charters Corner,38.0575125,-98.1792281,other
node/151335960,Stony Point,39.0944486,-94.7602386,other
node/151336140,Kodiak,39.951938,-94.7571876,other
node/151336904,Amazonia,39.8867654,-94.892605,other
node/151337521,Fleming,37.3681084,-94.7830169,other
node/151337539,Nortonville,39.4166649,-95.3335839,other
node/151337883,Marquette,38.5555632,-97.8336559,other
node/151338252,Harold,38.2725172,-99.9334612,other
node/151338264,Severy,37.6222547,-96.2280527,other
node/151338325,Wilson,38.825011,-98.475344,other
node/151338723,Udall,37.3875221,-97.1142063,other
node/151338729,Purcell,39.6805554,-95.3308091,other
node/151339571,Shady Brook,38.7394499,-96.9830697,other
node/151340282,Roper,37.6611582,-95.7327598,other
node/151340322,Flush,39.2944408,-96.4405567,other
node/151340613,Halstead,38.0014004,-97.5086518,other
node/151340697,Sadler,39.4386084,-94.9419082,other
node/151340819,Gano,38.1922446,-100.9112695,other
node/151340825,Macyville,39.4816695,-97.8164305,other
node/151340833,Elkhart,37.0027644,-101.89733,other
node/151341309,Latham,37.5361329,-96.6419654,other
node/151341353,Hasty,37.9389225,-95.69054,other
node/151341364,Vesper,39.031952,-98.280057,other
node/151341373,Paton,37.2161362,-97.1772631,other
node/151341594,Howard,37.4703117,-96.2636066,other
node/151341604,Emporia,38.4040054,-96.181623,other
node/151341641,Mulvane,37.4780814,-97.2407207,other
node/151341674,Norwich,37.4572405,-97.8489433,other
node/151342016,Belvidere,37.4502986,-99.0801057,other
node/151342124,Valley Center,37.8347342,-97.3733759,other
node/151342154,Arcadia,37.642295,-94.6228819,other
node/151342162,Burlington,38.1944667,-95.7427641,other
node/151342169,Curranville,37.5136587,-94.6316259,other
node/151342209,Cairo,37.6500181,-98.5545275,other
node/151342450,Wingate,37.4819658,-96.6975248,other
node/151343416,San Antonio,39.7769397,-94.6835715,other
node/151343527,Linkville,39.3111121,-94.6491239,other
node/151343599,Hepler,37.661157,-94.9683048,other
node/151343682,Corinth,39.4161212,-98.5453438,other
node/151343688,Browndale,39.3597181,-97.3508613,other
node/151343832,Englewood,37.0383622,-99.9834688,other
node/151343842,Venango,38.6388968,-97.9864381,other
node/151343846,Council Grove,38.6609239,-96.491958,other
node/151343855,Galena,37.0741519,-94.6390414,other
node/151344198,Platte River,39.5502747,-94.6957922,other
node/151344282,Penfield,37.1628478,-95.4080298,other
node/151344862,Alexander,38.4694588,-99.5531697,other
node/151345145,Hale,37.2347793,-96.0549896,other
node/151345557,Keeler,37.6119605,-97.2914333,other
node/151345719,Springdale,37.6750156,-97.1689304,other
node/151345957,Grinter Heights,39.0738934,-94.7641199,other
node/151345964,Haviland,37.6194626,-99.1064954,other
node/151345973,Vassar,38.647231,-95.6224828,other
node/151346425,Tyro,37.0378531,-95.8213686,other
node/151346596,Beverly,39.3680547,-94.8671847,other
node/151346794,Sitka,37.1750265,-99.6515129,other
node/151346810,Hiatt,39.2305574,-94.872463,other
node/151346820,Alanthus,38.7000136,-100.1670738,other
node/151347276,Bird City,39.7508287,-101.532943,other
node/151347882,Angelus,39.1911181,-100.6843115,other
node/151348256,Kensington,39.766956,-99.031751,other
node/151348317,Martin City,38.8852706,-94.5963251,other
node/151348966,Linn Valley,38.3775195,-94.7094019,other
node/151349003,Weston,39.4143273,-94.9006328,other
node/151349023,Horace,38.4764046,-101.790729,other
node/151349105,Helena,39.9127728,-94.6494055,other
node/151349243,Putnam,37.9697101,-97.3882127,other
node/151349736,Yoder,37.940463,-97.8687495,other
node/151349744,Rosaco,39.5788906,-97.6280945,other
