poi_id,name,latitude,longitude,category
node/34699332,Edmundston,47.3637203,-68.3288825,other
node/34705955,Saint-Léonard,47.1651978,-67.9244707,other
node/84590117,Danville Junction,44.0214738,-70.2655483,other
node/101280943,Holbrook Street Landing,43.7991973,-69.888188,slipway
node/101289703,Steamer Dock,43.7966146,-70.0786371,ferry_terminal
node/101294870,Peaks Island Wharf,43.6554368,-70.2000547,ferry_terminal
node/101355444,Stop 274,43.658008,-70.26637,stop_position
node/101380429,Bethel Point Town Landing,43.7909379,-69.9118251,slipway
node/101425854,Saint Francis Checkpoint,47.10393,-68.9485708,other
node/101445076,Gate #2,46.591994,-68.21589,other
node/101457397,MAGAN Trailhead,43.732792,-70.345649,other
node/101466384,Stop 423,43.661493,-70.26493,stop_position
node/101475619,Canadian Junction,47.1721588,-67.9440947,other
node/101496692,Cross Town Trail Trailhead,43.5699379,-70.2229612,other
node/101507467,Kent Junction,47.2485512,-68.576922,other
node/101509497,Stop 372,43.658265,-70.259452,stop_position
node/101564463,Monson Pond Water Access,46.7046857,-67.7979695,slipway
node/101568167,Wharton Point Landing,43.867596,-69.9933186,other
node/101573450,Public,43.739627,-70.0408974,slipway
node/101575887,Split Cedar Trails,47.1354017,-67.9949869,other
node/101584125,Dickey Checkpoint (Electronic Gate),47.1011961,-69.1541031,other
node/101606566,Stop 399,43.6585855,-70.2625334,stop_position
node/101664971,Graveyard Point Town Landing,43.7405906,-70.0152558,other
node/101672326,Town Landing,43.7517845,-69.9864576,slipway
node/101684759,Stop 256,43.664829,-70.274841,stop_position
node/101684810,Stop 262;267,43.659222,-70.26741,stop_position
node/101684847,Stop 245,43.6635678,-70.2726253,stop_position
node/101684867,Stop 279,43.664952,-70.274829,stop_position
node/101684880,Stop 239;271,43.6694106,-70.2821448,stop_position
node/101684912,Stop 275;276,43.673509,-70.28561,stop_position
node/101685151,Stop 247,43.663566,-70.272747,stop_position
node/101698885,Allagash Checkpoint,47.071992,-69.078875,other
node/101710011,Great Pond Trailhead,43.5791387,-70.2326871,other
node/101712458,Stop 673,43.67048,-70.284397,stop_position
node/101737012,Sebago To Sea Trail,43.777389,-70.501347,information
node/101741458,Congress St + Frederic St,43.6538694,-70.2832514,platform
node/101791885,2,44.401841,-68.243957,information
node/101791920,4,44.3901714,-68.2501942,information
node/101791956,5,44.3918924,-68.236163,information
node/101795232,Frenchboro Ferry Terminal,44.1214284,-68.3621585,ferry_terminal
node/101798712,Swan's Island Ferry Terminal,44.1812931,-68.4234361,ferry_terminal
node/101799592,15,44.3203738,-68.2550526,information
node/101799656,17,44.31597,-68.2344083,information
node/101806417,West Street Entrance,44.3879581,-68.2240614,other
node/101807513,Bass Harbor Ferry Terminal,44.2348561,-68.3484449,ferry_terminal
node/101808050,9,44.3774318,-68.253324,information
node/101808123,8,44.3530272,-68.2640117,information
node/101808212,7,44.3537109,-68.2449476,information
node/101821714,Craig Brook National Fish Hatchery Boat Ramp,44.5846022,-68.6912508,slipway
node/101821784,10,44.3514317,-68.2661433,information
node/101822952,Bar Island Trail Access,44.3920266,-68.2100928,other
node/101828605,37,44.3157007,-68.2340617,information
node/101830294,Southwest Harbor Upper Town Dock,44.2749256,-68.313639,ferry_terminal
node/101830353,Great Cranberry Island,44.2592952,-68.2698962,ferry_terminal
node/101835679,Gate,44.2997938,-68.3164226,other
node/101844584,Verona Island Boat Landing,44.5693608,-68.7911449,slipway
node/101844723,Haven,44.2652051,-68.5877794,other
node/101851338,Islesford  (Little Cranberry),44.2599773,-68.2395474,ferry_terminal
node/101881850,Town Landing,44.499936,-68.1539823,slipway
node/101894762,Vassalboro Wildlife Habitat,44.4091573,-69.6719573,other
node/101912108,Knox View,44.57594,-68.7980832,platform
node/101928419,Washington Junction,44.5529187,-68.3817702,other
node/101954030,New Harbor Town Landing,43.8734094,-69.4948215,slipway
node/101956468,Megunticook Market,44.2170949,-69.0779345,marketplace
node/101962995,West Appleton,44.3511859,-69.2605986,other
node/101981376,Timber Point Landing,44.0078422,-69.3552625,slipway
node/101995432,Tugboat Inn,43.8496471,-69.6294843,platform
node/101997446,T-Bar,44.5773794,-70.621774,station
node/101997447,T-Bar,44.5768173,-70.6145946,station
node/102017895,Seboeis Road Gate,45.880736,-68.6046001,other
node/102025535,Keag,45.516429,-68.351032,other
node/102030656,Way Back Machine,44.3793251,-70.7066302,station
node/102030658,Way Back Machine,44.369571,-70.71315,station
node/102034945,East Millinocket Cemetary,45.6207356,-68.5636664,other
node/102040801,Exeter Corner,44.9862057,-69.1454093,other
node/102063097,Smith Crossing,44.5394962,-70.5232726,other
node/102064595,Stetson Public Boat Launch,44.8874914,-69.138237,slipway
node/102070814,Across the Tracks,45.6521582,-68.7146515,other
node/102080303,Etna,44.8160228,-69.1168303,other
node/102086057,RUMFORD (END OF MAIN TRACK),44.5401708,-70.5237019,other
node/102119404,Brewer Junction,44.7930879,-68.7614817,other
node/102120777,Newport Junction,44.8311646,-69.2803403,other
node/102135045,Haskell Gate Trailhead,46.0800229,-68.7951889,other
node/102136541,Jo-Mary Checkpoint,45.5179722,-68.9261046,other
node/102184787,Ledges Trail Trailhead,46.1093704,-68.9016192,other
node/102213163,Trout Brook Mountain Trailhead,46.1637109,-68.8522624,other
node/102213852,Appalachian Trailhead,45.8855441,-69.0002286,other
node/102244806,Dwelley Pond Trailhead,46.045598,-69.057862,other
node/102245080,Dwelley Pond Trailhead,46.0872021,-69.0270251,other
node/102286840,OJI Trailhead,45.903325,-69.03725,other
node/102287665,Wassataquoik Lake Trailhead,45.9770632,-69.0748331,other
node/102339693,Burnham Junction,44.6915912,-69.4298443,other
node/102341248,Isleboro Ferry Terminal,44.2808587,-68.9428903,ferry_terminal
node/102347849,Cape Junction,44.4842643,-68.8390864,other
node/102356819,Northeast Carry Electronic Gate,45.9113303,-69.6556729,other
node/102361827,Islesboro Ferry,44.2804963,-69.0056592,ferry_terminal
node/102423158,Saint Croix Junction,45.1497031,-67.2929543,other
node/102499182,Saint Aurelie Checkpoint,46.2070164,-70.2750648,other
node/102527557,Ayers Junction,44.9855565,-67.2356518,other
node/102534932,Julie Court,44.78387,-69.719549,other
node/102570134,Exit 35 Saco/Buxton Rt-112,43.5175084,-70.465978,other
node/102586186,York and Kittery Water Districts,43.1962294,-70.6529327,other
node/102730664,Conway Junction,43.2080522,-70.7894173,other
node/102756155,Corner Where White Sedan Idled,43.4899159,-70.4532165,other
node/102791260,Precourt Street,43.4728017,-70.4912992,other
node/102793436,Bauneg Beg Tom's Way Trailhead,43.3866987,-70.7937263,other
node/102827714,Saco,43.4962837,-70.449121,stop_position
node/158797939,West Seboeis,45.5292164,-68.8786506,other
node/158798072,Beacon Corner,43.4292519,-70.4539398,other
node/158798083,Sawpit Corner,44.3072973,-69.300321,other
node/158798101,North Bucksport,44.6611839,-68.8133682,other
node/158798275,Phair,46.6269863,-67.9533595,other
node/158798283,Andover,44.6356741,-70.7511811,other
node/158798662,Carthage,44.624686,-70.473175,other
node/158798911,South Bridgton,43.9914601,-70.7081168,other
node/158798921,Saponac,45.1708965,-68.3180743,other
node/158798931,Grants Camps,45.1031085,-70.748957,other
node/158798966,Brimstone Corner,44.2075701,-70.4967257,other
node/158798977,Stillwater,44.9084022,-68.6864219,other
node/158798986,Sebago Center,43.8920181,-70.6983935,other
node/158798996,Hillman,46.2047723,-68.1600267,other
node/158799008,Paine Corner,44.1581265,-70.4308911,other
node/158799334,Alna Center,44.0809096,-69.6181013,other
node/158799338,Parrot,45.2550505,-69.5539404,other
node/158799341,Howe Brook,46.3055974,-68.194754,other
node/158799346,Milton,44.4478434,-70.6531222,other
node/158799353,North Falmouth,43.7814676,-70.3361622,other
node/158799562,Tory Hill,43.6053589,-70.5361647,other
node/158799678,Upper Gloucester,43.9902753,-70.2937113,other
node/158799689,Bangs Beach,44.4725666,-69.7747697,other
node/158799699,Houston Corner,44.7950645,-69.3381036,other
node/158799710,Lisbon Center,44.0197987,-70.0933864,other
node/158799942,Agamenticus Station,43.2441632,-70.7751112,other
node/158799990,East Harpswell,43.8336929,-69.8983809,other
node/158800002,Goodrich Corner,44.7211706,-70.0570059,other
node/158800011,Madrid Junction,44.8696178,-70.4000167,other
node/158800043,Cook Mills,43.9856279,-70.5564472,other
node/158800055,Deering Highlands,43.6684149,-70.2908822,other
